ord;audk;ordfl;beyg;mark
Afganistan;431577;hk;Afganistan;NFET,ÞFET,ÞGFET,EFET
Alsír;484410;hk;Alsír;NFET,ÞFET,ÞGFET,EFET
Andorra;431586;hk;Andorra;NFET,ÞFET,ÞGFET,EFET
Angóla;431587;hk;Angóla;NFET,ÞFET,ÞGFET,EFET
Aserbaísjan;513520;hk;Aserbaísjan;NFET,ÞFET,ÞGFET,EFET
asma;4243;hk;asma;NFET,ÞFET,ÞGFET,EFET
astma;4260;hk;astma;NFET,ÞFET,ÞGFET,EFET
Bangladess;488559;hk;Bangladess;NFET,ÞFET,ÞGFET,EFET
Barbados;488560;hk;Barbados;NFET,ÞFET,ÞGFET,EFET
Barein;431755;hk;Barein;NFET,ÞFET,ÞGFET,EFET
Belís;488561;hk;Belís;NFET,ÞFET,ÞGFET,EFET
bridds;488562;hk;bridds;NFET,ÞFET,ÞGFET,EFET
Búrma;431595;hk;Búrma;NFET,ÞFET,ÞGFET,EFET
Búrúndí;431759;hk;Búrúndí;NFET,ÞFET,ÞGFET,EFET
Chile;479239;hk;Chile;NFET,ÞFET,ÞGFET,EFET
Dúbaí;488971;hk;Dúbaí;NFET,ÞFET,ÞGFET,EFET
Ekvador;480011;hk;Ekvador;NFET,ÞFET,ÞGFET,EFET
Evróvisjón;489027;hk;Evróvisjón;NFET,ÞFET,ÞGFET,EFET
Fídjí;515079;hk;Fídjí;NFET,ÞFET,ÞGFET,EFET
Flórída;479900;hk;Flórída;NFET,ÞFET,ÞGFET,EFET
Gabon;431761;hk;Gabon;NFET,ÞFET,ÞGFET,EFET
Gana;431599;hk;Gana;NFET,ÞFET,ÞGFET,EFET
Gíbraltar;431762;hk;Gíbraltar;NFET,ÞFET,ÞGFET,EFET
Gvatemala;431604;hk;Gvatemala;NFET,ÞFET,ÞGFET,EFET
Haítí;431764;hk;Haítí;NFET,ÞFET,ÞGFET,EFET
Havaí;487559;hk;Havaí;NFET,ÞFET,ÞGFET,EFET
Helsingfors;489211;hk;Helsingfors;NFET,ÞFET,ÞGFET,EFET
henna;4269;hk;henna;NFET,ÞFET,ÞGFET,EFET
Hondúras;488564;hk;Hondúras;NFET,ÞFET,ÞGFET,EFET
Japan;431569;hk;Japan;NFET,ÞFET,ÞGFET,EFET
Jemen;431766;hk;Jemen;NFET,ÞFET,ÞGFET,EFET
jóga;4245;hk;jóga;NFET,ÞFET,ÞGFET,EFET
júta;4246;hk;júta;NFET,ÞFET,ÞGFET,EFET
Kamerún;431767;hk;Kamerún;NFET,ÞFET,ÞGFET,EFET
Kanada;431456;hk;Kanada;NFET,ÞFET,ÞGFET,EFET
Kanarí;487557;hk;Kanarí;NFET,ÞFET,ÞGFET,EFET
kannabis;488585;hk;kannabis;NFET,ÞFET,ÞGFET,EFET
karma;14896;hk;karma;NFET,ÞFET,ÞGFET,EFET
Kasakstan;431308;hk;Kasakstan;NFET,ÞFET,ÞGFET,EFET
Kasmír;484409;hk;Kasmír;NFET,ÞFET,ÞGFET,EFET
