ord;audk;ordfl;beyg;mark
akrýl;378;hk;akrýl;NFET,ÞFET,ÞGFET
akrýl;378;hk;akrýls;EFET
anarkí;489898;hk;anarkí;NFET,ÞFET,ÞGFET
anarkí;489898;hk;anarkís;EFET
badminton;471;hk;badminton;NFET,ÞFET,ÞGFET
badminton;471;hk;badmintons;EFET
bakkelsi;478;hk;bakkelsis;EFET
bakkelsi;478;hk;bakkelsi;NFET,ÞFET,ÞGFET
barokk;477539;hk;barokk;NFET,ÞFET,ÞGFET
barokk;477539;hk;barokks;EFET
basil;373479;hk;basil;NFET,ÞFET,ÞGFET
basil;373479;hk;basils;EFET
báxít;511;hk;báxít;NFET,ÞFET,ÞGFET
báxít;511;hk;báxíts;EFET
beðmi;514;hk;beðmis;EFET
beðmi;514;hk;beðmi;NFET,ÞFET,ÞGFET
beryllín;538;hk;beryllín;NFET,ÞFET,ÞGFET
beryllín;538;hk;beryllíns;EFET
beryllíum;539;hk;beryllíum;NFET,ÞFET,ÞGFET
beryllíum;539;hk;beryllíums;EFET
beyki;548;hk;beyki;NFET,ÞFET,ÞGFET
beyki;548;hk;beykis;EFET
bindindi;553;hk;bindindi;NFET,ÞFET,ÞGFET
bindindi;553;hk;bindindis;EFET
birki;557;hk;birkis;EFET
birki;557;hk;birki;NFET,ÞFET,ÞGFET
bíti;567;hk;bítis;EFET
bíti;567;hk;bíti;NFET,ÞFET,ÞGFET
bleyti;583;hk;bleyti;NFET,ÞFET,ÞGFET
bleyti;583;hk;bleytis;EFET
brenni;644;hk;brennis;EFET
brenni;644;hk;brenni;NFET,ÞFET,ÞGFET
bróðerni;671;hk;bróðernis;EFET
bróðerni;671;hk;bróðerni;NFET,ÞFET,ÞGFET
brókaði;672;hk;brókaði;NFET,ÞFET,ÞGFET
brókaði;672;hk;brókaðis;EFET
brokkólí;484445;hk;brokkólís;EFET
brokkólí;484445;hk;brokkólí;NFET,ÞFET,ÞGFET
debet;374390;hk;debets;EFET
debet;374390;hk;debet;NFET,ÞFET,ÞGFET
devon;765;hk;devons;EFET
devon;765;hk;devon;NFET,ÞFET,ÞGFET
drægi;480020;hk;drægi;NFET,ÞFET,ÞGFET
drægi;480020;hk;drægis;EFET
eðli;877;hk;eðli;NFET,ÞFET,ÞGFET
eðli;877;hk;eðlis;EFET
eldi;901;hk;eldi;NFET,ÞFET,ÞGFET
eldi;901;hk;eldis;EFET
elri;904;hk;elris;EFET
elri;904;hk;elri;NFET,ÞFET,ÞGFET
engifer;911;hk;engifers;EFET
engifer;911;hk;engifer;NFET,ÞFET,ÞGFET
erfiði;931;hk;erfiðis;EFET
erfiði;931;hk;erfiði;NFET,ÞFET,ÞGFET
ergelsi;933;hk;ergelsi;NFET,ÞFET,ÞGFET
ergelsi;933;hk;ergelsis;EFET
eski;479272;hk;eski;NFET,ÞFET,ÞGFET
eski;479272;hk;eskis;EFET
esperantó;941;hk;esperantó;NFET,ÞFET,ÞGFET
esperantó;941;hk;esperantós;EFET
eyði;961;hk;eyði;NFET,ÞFET,ÞGFET
eyði;961;hk;eyðis;EFET
faðerni;970;hk;faðernis;EFET
faðerni;970;hk;faðerni;NFET,ÞFET,ÞGFET
fennel;375194;hk;fennel;NFET,ÞFET,ÞGFET
fennel;375194;hk;fennels;EFET
fé;1013;hk;fjár;EFET
fé;1013;hk;fé;NFET,ÞFET,ÞGFET
flúor;1110;hk;flúor;NFET,ÞFET,ÞGFET
flúor;1110;hk;flúors;EFET
flúorít;506230;hk;flúorít;NFET,ÞFET,ÞGFET
flúorít;506230;hk;flúoríts;EFET
flæði;1116;hk;flæðis;EFET
flæði;1116;hk;flæði;NFET,ÞFET,ÞGFET
flæmi;1117;hk;flæmi;NFET,ÞFET,ÞGFET
flæmi;1117;hk;flæmis;EFET
foreldri;1128;hk;foreldri;NFET,ÞFET,ÞGFET
foreldri;1128;hk;foreldris;EFET
formalín;1129;hk;formalín;NFET,ÞFET,ÞGFET
formalín;1129;hk;formalíns;EFET
fransíum;1148;hk;fransíums;EFET
fransíum;1148;hk;fransíum;NFET,ÞFET,ÞGFET
frelsi;1151;hk;frelsi;NFET,ÞFET,ÞGFET
frelsi;1151;hk;frelsis;EFET
frisbí;559798;hk;frisbís;EFET
frisbí;559798;hk;frisbí;NFET,ÞFET,ÞGFET
frotte;477861;hk;frotte;NFET,ÞFET,ÞGFET
frotte;477861;hk;frottes;EFET
fulltingi;1177;hk;fulltingi;NFET,ÞFET,ÞGFET
fulltingi;1177;hk;fulltingis;EFET
fylgi;1187;hk;fylgis;EFET
fylgi;1187;hk;fylgi;NFET,ÞFET,ÞGFET
fæði;1197;hk;fæði;NFET,ÞFET,ÞGFET
fæði;1197;hk;fæðis;EFET
gabbró;1204;hk;gabbró;NFET,ÞFET,ÞGFET
gabbró;1204;hk;gabbrós;EFET
ginseng;1277;hk;ginsengs;EFET
ginseng;1277;hk;ginseng;NFET,ÞFET,ÞGFET
girni;1280;hk;girni;NFET,ÞFET,ÞGFET
girni;1280;hk;girnis;EFET
gíró;1285;hk;gírós;EFET
gíró;1285;hk;gíró;NFET,ÞFET,ÞGFET
glimmer;488511;hk;glimmers;EFET
glimmer;488511;hk;glimmer;NFET,ÞFET,ÞGFET
greip;488361;hk;greip;NFET,ÞFET,ÞGFET
greip;488361;hk;greips;EFET
greni;448383;hk;greni;NFET,ÞFET,ÞGFET
greni;448383;hk;grenis;EFET
gúanó;478651;hk;gúanós;EFET
gúanó;478651;hk;gúanó;NFET,ÞFET,ÞGFET
gúmmelaði;488526;hk;gúmmelaði;NFET,ÞFET,ÞGFET
gúmmelaði;488526;hk;gúmmelaðis;EFET
gúmmulaði;1445;hk;gúmmulaðis;EFET
gúmmulaði;1445;hk;gúmmulaði;NFET,ÞFET,ÞGFET
hátterni;1495;hk;hátterni;NFET,ÞFET,ÞGFET
hátterni;1495;hk;hátternis;EFET
heiði;1497;hk;heiðis;EFET
heiði;1497;hk;heiði;NFET,ÞFET,ÞGFET
helín;1511;hk;helín;NFET,ÞFET,ÞGFET
helín;1511;hk;helíns;EFET
hesli;1528;hk;hesli;NFET,ÞFET,ÞGFET
hesli;1528;hk;heslis;EFET
hirsi;1538;hk;hirsis;EFET
hirsi;1538;hk;hirsi;NFET,ÞFET,ÞGFET
hismi;434449;hk;hismi;NFET,ÞFET,ÞGFET
hismi;434449;hk;hismis;EFET
hokkí;404087;hk;hokkís;EFET
hokkí;404087;hk;hokkí;NFET,ÞFET,ÞGFET
hveiti;1727;hk;hveiti;NFET,ÞFET,ÞGFET
hveiti;1727;hk;hveitis;EFET
hylli;1751;hk;hylli;NFET,ÞFET,ÞGFET
hylli;1751;hk;hyllis;EFET
hyski;416728;hk;hyskis;EFET
hyski;416728;hk;hyski;NFET,ÞFET,ÞGFET
hæfi;1758;hk;hæfi;NFET,ÞFET,ÞGFET
hæfi;1758;hk;hæfis;EFET
ildi;1779;hk;ildi;NFET,ÞFET,ÞGFET
ildi;1779;hk;ildis;EFET
indígó;1782;hk;indígós;EFET
indígó;1782;hk;indígó;NFET,ÞFET,ÞGFET
Írak;431565;hk;Írak;NFET,ÞFET,ÞGFET
Írak;431565;hk;Íraks;EFET
Íran;431567;hk;Írans;EFET
Íran;431567;hk;Íran;NFET,ÞFET,ÞGFET
íslam;1798;hk;íslams;EFET
íslam;1798;hk;íslam;NFET,ÞFET,ÞGFET
jaði;483876;hk;jaðis;EFET
jaði;483876;hk;jaði;NFET,ÞFET,ÞGFET
júdó;1837;hk;júdós;EFET
júdó;1837;hk;júdó;NFET,ÞFET,ÞGFET
kaffi;477358;hk;kaffi;NFET,ÞFET,ÞGFET
kaffi;477358;hk;kaffis;EFET
kakí;1852;hk;kakís;EFET
kakí;1852;hk;kakí;NFET,ÞFET,ÞGFET
kakó;1854;hk;kakós;EFET
kakó;1854;hk;kakó;NFET,ÞFET,ÞGFET
kalíum;1862;hk;kalíums;EFET
kalíum;1862;hk;kalíum;NFET,ÞFET,ÞGFET
kalsíum;1867;hk;kalsíums;EFET
kalsíum;1867;hk;kalsíum;NFET,ÞFET,ÞGFET
kambríum;1868;hk;kambríum;NFET,ÞFET,ÞGFET
kambríum;1868;hk;kambríums;EFET
kanel;1875;hk;kanel;NFET,ÞFET,ÞGFET
kanel;1875;hk;kanels;EFET
karate;1885;hk;karate;NFET,ÞFET,ÞGFET
karate;1885;hk;karates;EFET
karókí;484442;hk;karókís;EFET
karókí;484442;hk;karókí;NFET,ÞFET,ÞGFET
karrí;416787;hk;karrí;NFET,ÞFET,ÞGFET
karrí;416787;hk;karrís;EFET
kaskó;1901;hk;kaskó;NFET,ÞFET,ÞGFET
kaskó;1901;hk;kaskós;EFET
keramik;479357;hk;keramiks;EFET
keramik;479357;hk;keramik;NFET,ÞFET,ÞGFET
keramík;479358;hk;keramík;NFET,ÞFET,ÞGFET
keramík;479358;hk;keramíks;EFET
kítti;1952;hk;kíttis;EFET
kítti;1952;hk;kítti;NFET,ÞFET,ÞGFET
kókó;2072;hk;kókós;EFET
kókó;2072;hk;kókó;NFET,ÞFET,ÞGFET
kredit;486511;hk;kredit;NFET,ÞFET,ÞGFET
kredit;486511;hk;kredits;EFET
krikket;558936;hk;krikkets;EFET
krikket;558936;hk;krikket;NFET,ÞFET,ÞGFET
kurt;476541;hk;kurt;NFET,ÞFET,ÞGFET
kurt;476541;hk;kurts;EFET
lerki;2243;hk;lerki;NFET,ÞFET,ÞGFET
lerki;2243;hk;lerkis;EFET
leyndó;2251;hk;leyndós;EFET
leyndó;2251;hk;leyndó;NFET,ÞFET,ÞGFET
leyti;2253;hk;leytis;EFET
leyti;2253;hk;leyti;NFET,ÞFET,ÞGFET
litni;2266;hk;litnis;EFET
litni;2266;hk;litni;NFET,ÞFET,ÞGFET
líferni;2270;hk;lífernis;EFET
líferni;2270;hk;líferni;NFET,ÞFET,ÞGFET
límonaði;2279;hk;límonaði;NFET,ÞFET,ÞGFET
límonaði;2279;hk;límonaðis;EFET
líparít;2283;hk;líparít;NFET,ÞFET,ÞGFET
líparít;2283;hk;líparíts;EFET
