ord;audk;ordfl;beyg;mark
ans;372890;hk;ans;NFET,ÞFET,EFET,NFFT,ÞFFT
ans;372890;hk;ansa;EFFT
ans;372890;hk;ansi;ÞGFET
ans;372890;hk;ansum;ÞGFFT
boms;611;hk;boms;NFET,ÞFET,EFET,NFFT,ÞFFT
boms;611;hk;bomsa;EFFT
boms;611;hk;bomsum;ÞGFFT
boms;611;hk;bomsi;ÞGFET
box;617;hk;boxa;EFFT
box;617;hk;box;NFET,ÞFET,EFET,NFFT,ÞFFT
box;617;hk;boxi;ÞGFET
box;617;hk;boxum;ÞGFFT
dress;822;hk;dress;NFET,ÞFET,EFET,NFFT,ÞFFT
dress;822;hk;dressa;EFFT
dress;822;hk;dressi;ÞGFET
dress;822;hk;dressum;ÞGFFT
fress;1154;hk;fress;NFET,ÞFET,EFET,NFFT,ÞFFT
fress;1154;hk;fressum;ÞGFFT
fress;1154;hk;fressi;ÞGFET
fress;1154;hk;fressa;EFFT
góss;1381;hk;góss;NFET,ÞFET,EFET,NFFT,ÞFFT
góss;1381;hk;góssa;EFFT
góss;1381;hk;góssi;ÞGFET
góss;1381;hk;góssum;ÞGFFT
gross;1411;hk;grossa;EFFT
gross;1411;hk;gross;NFET,ÞFET,EFET,NFFT,ÞFFT
gross;1411;hk;grossum;ÞGFFT
gross;1411;hk;grossi;ÞGFET
herts;1526;hk;hertsi;ÞGFET
herts;1526;hk;herts;NFET,ÞFET,EFET,NFFT,ÞFFT
herts;1526;hk;hertsa;EFFT
herts;1526;hk;hertsum;ÞGFFT
hex;1530;hk;hexum;ÞGFFT
hex;1530;hk;hexi;ÞGFET
hex;1530;hk;hexa;EFFT
hex;1530;hk;hex;NFET,ÞFET,EFET,NFFT,ÞFFT
hnoss;1605;hk;hnoss;NFET,ÞFET,EFET,NFFT,ÞFFT
hnoss;1605;hk;hnossa;EFFT
hnoss;1605;hk;hnossi;ÞGFET
hnoss;1605;hk;hnossum;ÞGFFT
hross;1686;hk;hross;NFET,ÞFET,EFET,NFFT,ÞFFT
hross;1686;hk;hrossa;EFFT
hross;1686;hk;hrossi;ÞGFET
hross;1686;hk;hrossum;ÞGFFT
kex;1936;hk;kexa;EFFT
kex;1936;hk;kexi;ÞGFET
kex;1936;hk;kexum;ÞGFFT
kex;1936;hk;kex;NFET,ÞFET,EFET,NFFT,ÞFFT
lúx;2316;hk;lúx;NFET,ÞFET,EFET,NFFT,ÞFFT
lúx;2316;hk;lúxa;EFFT
lúx;2316;hk;lúxi;ÞGFET
lúx;2316;hk;lúxum;ÞGFFT
mix;484157;hk;mixum;ÞGFFT
mix;484157;hk;mix;NFET,ÞFET,EFET,NFFT,ÞFFT
mix;484157;hk;mixa;EFFT
mix;484157;hk;mixi;ÞGFET
pils;2727;hk;pilsum;ÞGFFT
pils;2727;hk;pilsi;ÞGFET
pils;2727;hk;pilsa;EFFT
pils;2727;hk;pils;NFET,ÞFET,EFET,NFFT,ÞFFT
pláss;2755;hk;plássi;ÞGFET
pláss;2755;hk;plássa;EFFT
pláss;2755;hk;plássum;ÞGFFT
pláss;2755;hk;pláss;NFET,ÞFET,EFET,NFFT,ÞFFT
pons;2772;hk;pons;NFET,ÞFET,EFET,NFFT,ÞFFT
pons;2772;hk;ponsa;EFFT
pons;2772;hk;ponsi;ÞGFET
pons;2772;hk;ponsum;ÞGFFT
púss;2838;hk;púss;NFET,ÞFET,EFET,NFFT,ÞFFT
púss;2838;hk;pússi;ÞGFET
púss;2838;hk;pússum;ÞGFFT
púss;2838;hk;pússa;EFFT
sex;3102;hk;sexum;ÞGFFT
sex;3102;hk;sexi;ÞGFET
sex;3102;hk;sex;NFET,ÞFET,EFET,NFFT,ÞFFT
sex;3102;hk;sexa;EFFT
tips;3813;hk;tipsum;ÞGFFT
tips;3813;hk;tipsa;EFFT
tips;3813;hk;tipsi;ÞGFET
tips;3813;hk;tips;NFET,ÞFET,EFET,NFFT,ÞFFT
trix;3872;hk;trixum;ÞGFFT
trix;3872;hk;trixa;EFFT
trix;3872;hk;trix;NFET,ÞFET,EFET,NFFT,ÞFFT
trix;3872;hk;trixi;ÞGFET
trúss;3884;hk;trússa;EFFT
trúss;3884;hk;trúss;NFET,ÞFET,EFET,NFFT,ÞFFT
trúss;3884;hk;trússi;ÞGFET
trúss;3884;hk;trússum;ÞGFFT
vers;4001;hk;versum;ÞGFFT
vers;4001;hk;versi;ÞGFET
vers;4001;hk;versa;EFFT
vers;4001;hk;vers;NFET,ÞFET,EFET,NFFT,ÞFFT
