ord;audk;ordfl;beyg;mark
baks;479;hk;baks;NFET,ÞFET,EFET
baks;479;hk;baksi;ÞGFET
blúss;593;hk;blússi;ÞGFET
blúss;593;hk;blúss;NFET,ÞFET,EFET
bofs;603;hk;bofs;NFET,ÞFET,EFET
bofs;603;hk;bofsi;ÞGFET
brons;667;hk;brons;NFET,ÞFET,EFET
brons;667;hk;bronsi;ÞGFET
fars;984;hk;farsi;ÞGFET
fars;984;hk;fars;NFET,ÞFET,EFET
flangs;1061;hk;flangsi;ÞGFET
flangs;1061;hk;flangs;NFET,ÞFET,EFET
fliss;375536;hk;fliss;NFET,ÞFET,EFET
fliss;375536;hk;flissi;ÞGFET
fruss;1167;hk;frussi;ÞGFET
fruss;1167;hk;fruss;NFET,ÞFET,EFET
fúss;1184;hk;fúss;NFET,ÞFET,EFET
fúss;1184;hk;fússi;ÞGFET
gifs;1268;hk;gifsi;ÞGFET
gifs;1268;hk;gifs;NFET,ÞFET,EFET
glefs;484428;hk;glefsi;ÞGFET
glefs;484428;hk;glefs;NFET,ÞFET,EFET
glens;1311;hk;glens;NFET,ÞFET,EFET
glens;1311;hk;glensi;ÞGFET
gloss;484434;hk;glossi;ÞGFET
gloss;484434;hk;gloss;NFET,ÞFET,EFET
groms;1410;hk;groms;NFET,ÞFET,EFET
groms;1410;hk;gromsi;ÞGFET
gums;1434;hk;gumsi;ÞGFET
gums;1434;hk;gums;NFET,ÞFET,EFET
gúllas;1439;hk;gúllas;NFET,ÞFET,EFET
gúllas;1439;hk;gúllasi;ÞGFET
hangs;1477;hk;hangs;NFET,ÞFET,EFET
hangs;1477;hk;hangsi;ÞGFET
hass;1487;hk;hassi;ÞGFET
hass;1487;hk;hass;NFET,ÞFET,EFET
hviss;1739;hk;hvissi;ÞGFET
hviss;1739;hk;hviss;NFET,ÞFET,EFET
kandís;1874;hk;kandís;NFET,ÞFET,EFET
kandís;1874;hk;kandísi;ÞGFET
kapers;1881;hk;kapers;NFET,ÞFET,EFET
kapers;1881;hk;kapersi;ÞGFET
kjams;484430;hk;kjams;NFET,ÞFET,EFET
kjams;484430;hk;kjamsi;ÞGFET
kjass;1963;hk;kjassi;ÞGFET
kjass;1963;hk;kjass;NFET,ÞFET,EFET
Kósovó;512990;hk;Kósovó;NFET,ÞFET,EFET
Kósovó;512990;hk;Kósóvó;ÞGFET
koks;2038;hk;koks;NFET,ÞFET,EFET
koks;2038;hk;koksi;ÞGFET
kornflex;484159;hk;kornflexi;ÞGFET
kornflex;484159;hk;kornflex;NFET,ÞFET,EFET
krass;425774;hk;krassi;ÞGFET
krass;425774;hk;krass;NFET,ÞFET,EFET
kruss;379103;hk;kruss;NFET,ÞFET,EFET
kruss;379103;hk;krussi;ÞGFET
kvars;2165;hk;kvars;NFET,ÞFET,EFET
kvars;2165;hk;kvarsi;ÞGFET
majónes;2343;hk;majónesi;ÞGFET
majónes;2343;hk;majónes;NFET,ÞFET,EFET
pass;2682;hk;pass;NFET,ÞFET,EFET
pass;2682;hk;passi;ÞGFET
pex;2723;hk;pex;NFET,ÞFET,EFET
pex;2723;hk;pexi;ÞGFET
piss;2731;hk;pissi;ÞGFET
piss;2731;hk;piss;NFET,ÞFET,EFET
pluss;2764;hk;plussi;ÞGFET
pluss;2764;hk;pluss;NFET,ÞFET,EFET
púns;2836;hk;púnsi;ÞGFET
púns;2836;hk;púns;NFET,ÞFET,EFET
rex;2923;hk;rex;NFET,ÞFET,EFET
rex;2923;hk;rexi;ÞGFET
rifs;2934;hk;rifs;NFET,ÞFET,EFET
rifs;2934;hk;rifsi;ÞGFET
rigs;2937;hk;rigsi;ÞGFET
rigs;2937;hk;rigs;NFET,ÞFET,EFET
riss;2944;hk;rissi;ÞGFET
riss;2944;hk;riss;NFET,ÞFET,EFET
rúss;3006;hk;rúss;NFET,ÞFET,EFET
rúss;3006;hk;rússi;ÞGFET
sirs;381239;hk;sirs;NFET,ÞFET,EFET
sirs;381239;hk;sirsi;ÞGFET
skens;3187;hk;skensi;ÞGFET
skens;3187;hk;skens;NFET,ÞFET,EFET
skrens;3254;hk;skrensi;ÞGFET
skrens;3254;hk;skrens;NFET,ÞFET,EFET
skvass;3310;hk;skvass;NFET,ÞFET,EFET
skvass;3310;hk;skvassi;ÞGFET
slugs;381616;hk;slugsi;ÞGFET
slugs;381616;hk;slugs;NFET,ÞFET,EFET
snúss;3451;hk;snúss;NFET,ÞFET,EFET
snúss;3451;hk;snússi;ÞGFET
stans;3537;hk;stans;NFET,ÞFET,EFET
stans;3537;hk;stansi;ÞGFET
stáss;3547;hk;stássi;ÞGFET
stáss;3547;hk;stáss;NFET,ÞFET,EFET
stress;3596;hk;stress;NFET,ÞFET,EFET
stress;3596;hk;stressi;ÞGFET
stúss;3627;hk;stússi;ÞGFET
stúss;3627;hk;stúss;NFET,ÞFET,EFET
tafs;478564;hk;tafs;NFET,ÞFET,EFET
tafs;478564;hk;tafsi;ÞGFET
tráss;3859;hk;tráss;NFET,ÞFET,EFET
tráss;3859;hk;trássi;ÞGFET
túss;3909;hk;túss;NFET,ÞFET,EFET
túss;3909;hk;tússi;ÞGFET
vax;3978;hk;vax;NFET,ÞFET,EFET
vax;3978;hk;vaxi;ÞGFET
