ord;audk;ordfl;beyg;mark
albúm;382;hk;albúms;EFET
albúm;382;hk;albúmi;ÞGFET
albúm;382;hk;albúmum;ÞGFFT
albúm;382;hk;albúm;NFET,ÞFET,NFFT,ÞFFT
albúm;382;hk;albúma;EFFT
aldin;384;hk;aldin;NFET,ÞFET,NFFT,ÞFFT
aldin;384;hk;aldina;EFFT
aldin;384;hk;aldini;ÞGFET
aldin;384;hk;aldins;EFET
aldin;384;hk;aldinum;ÞGFFT
amboð;395;hk;amboð;NFET,ÞFET,NFFT,ÞFFT
amboð;395;hk;amboða;EFFT
amboð;395;hk;amboði;ÞGFET
amboð;395;hk;amboðs;EFET
amboð;395;hk;amboðum;ÞGFFT
amen;484416;hk;amenum;ÞGFFT
amen;484416;hk;amena;EFFT
amen;484416;hk;amen;NFET,ÞFET,NFFT,ÞFFT
amen;484416;hk;amens;EFET
amen;484416;hk;ameni;ÞGFET
amper;293827;hk;amperum;ÞGFFT
amper;293827;hk;ampers;EFET
amper;293827;hk;amperi;ÞGFET
amper;293827;hk;amper;NFET,ÞFET,NFFT,ÞFFT
amper;293827;hk;ampera;EFFT
angström;489902;hk;angströmum;ÞGFFT
angström;489902;hk;angström;NFET,ÞFET,NFFT,ÞFFT
angström;489902;hk;angströma;EFFT
angström;489902;hk;angströmi;ÞGFET
angström;489902;hk;angströms;EFET
apótek;427;hk;apótekum;ÞGFFT
apótek;427;hk;apóteks;EFET
apótek;427;hk;apóteki;ÞGFET
apótek;427;hk;apóteka;EFFT
apótek;427;hk;apótek;NFET,ÞFET,NFFT,ÞFFT
atóm;453;hk;atómum;ÞGFFT
atóm;453;hk;atóms;EFET
atóm;453;hk;atómi;ÞGFET
atóm;453;hk;atóma;EFFT
atóm;453;hk;atóm;NFET,ÞFET,NFFT,ÞFFT
ár;466;hk;árum;ÞGFFT
ár;466;hk;árs;EFET
ár;466;hk;ári;ÞGFET
ár;466;hk;ára;EFFT
ár;466;hk;ár;NFET,ÞFET,NFFT,ÞFFT
bakarí;475;hk;bakaríum;ÞGFFT
bakarí;475;hk;bakaría;EFFT
bakarí;475;hk;bakarís;EFET
bakarí;475;hk;bakaríi;ÞGFET
bakarí;475;hk;bakarí;NFET,ÞFET,NFFT,ÞFFT
bágt;486871;hk;bágts;EFET
bágt;486871;hk;bágta;EFFT
bágt;486871;hk;bágti;ÞGFET
bágt;486871;hk;bágtum;ÞGFFT
bágt;486871;hk;bágt;NFET,ÞFET,NFFT,ÞFFT
bákn;509;hk;bákna;EFFT
bákn;509;hk;bákni;ÞGFET
bákn;509;hk;bákns;EFET
bákn;509;hk;bákn;NFET,ÞFET,NFFT,ÞFFT
bákn;509;hk;báknum;ÞGFFT
bál;510;hk;bál;NFET,ÞFET,NFFT,ÞFFT
bál;510;hk;bála;EFFT
bál;510;hk;báli;ÞGFET
bál;510;hk;báls;EFET
bál;510;hk;bálum;ÞGFFT
beð;513;hk;beða;EFFT
beð;513;hk;beði;ÞGFET
