ord;audk;ordfl;beyg;mark
dís;488577;hk;dísa;EFFT
dís;488577;hk;dísum;ÞGFFT
dís;488577;hk;dís;NFET,ÞFET,ÞGFET,EFET,NFFT,ÞFFT
es;488579;hk;es;NFET,ÞFET,ÞGFET,EFET,NFFT,ÞFFT
es;488579;hk;esa;EFFT
es;488579;hk;esum;ÞGFFT
ess;487043;hk;ess;NFET,ÞFET,ÞGFET,EFET,NFFT,ÞFFT
ess;487043;hk;essa;EFFT
ess;487043;hk;essum;ÞGFFT
joð;486771;hk;joð;NFET,ÞFET,ÞGFET,EFET,NFFT,ÞFFT
joð;486771;hk;joða;EFFT
joð;486771;hk;joðum;ÞGFFT
té;484879;hk;téa;EFFT
té;484879;hk;té;NFET,ÞFET,ÞGFET,EFET,NFFT,ÞFFT
té;484879;hk;téum;ÞGFFT
