ord;audk;ordfl;beyg;mark
bágindi;508;hk;bágindi;NFFT,ÞFFT
bágindi;508;hk;báginda;EFFT
bágindi;508;hk;bágindum;ÞGFFT
býsn;718;hk;býsnum;ÞGFFT
býsn;718;hk;býsn;NFFT,ÞFFT
býsn;718;hk;býsna;EFFT
býti;719;hk;býti;NFFT,ÞFFT
býti;719;hk;býtum;ÞGFFT
býti;719;hk;býta;EFFT
býtti;720;hk;býtti;NFFT,ÞFFT
býtti;720;hk;býttum;ÞGFFT
býtti;720;hk;býtta;EFFT
deili;753;hk;deili;NFFT,ÞFFT
deili;753;hk;deilum;ÞGFFT
deili;753;hk;deila;EFFT
drýgindi;838;hk;drýgindum;ÞGFFT
drýgindi;838;hk;drýgindi;NFFT,ÞFFT
drýgindi;838;hk;drýginda;EFFT
eymsli;965;hk;eymsla;EFFT
eymsli;965;hk;eymslum;ÞGFFT
eymsli;965;hk;eymsli;NFFT,ÞFFT
feðgin;996;hk;feðgin;NFFT,ÞFFT
feðgin;996;hk;feðgina;EFFT
feðgin;996;hk;feðginum;ÞGFFT
feikn;488519;hk;feikn;NFFT,ÞFFT
feikn;488519;hk;feiknum;ÞGFFT
feikn;488519;hk;feikna;EFFT
firnindi;1027;hk;firnindum;ÞGFFT
firnindi;1027;hk;firnindi;NFFT,ÞFFT
firnindi;1027;hk;firninda;EFFT
fríðindi;1156;hk;fríðindi;NFFT,ÞFFT
fríðindi;1156;hk;fríðinda;EFFT
fríðindi;1156;hk;fríðindum;ÞGFFT
fræði;1170;hk;fræða;EFFT
fræði;1170;hk;fræðum;ÞGFFT
fræði;1170;hk;fræði;NFFT,ÞFFT
föt;1201;hk;fötum;ÞGFFT
föt;1201;hk;fata;EFFT
föt;1201;hk;föt;NFFT,ÞFFT
glöp;1345;hk;glöp;NFFT,ÞFFT
glöp;1345;hk;glöpum;ÞGFFT
glöp;1345;hk;glapa;EFFT
glöpp;1346;hk;glöpp;NFFT,ÞFFT
glöpp;1346;hk;glöppum;ÞGFFT
glöpp;1346;hk;glappa;EFFT
grið;1398;hk;griða;EFFT
grið;1398;hk;grið;NFFT,ÞFFT
grið;1398;hk;griðum;ÞGFFT
gæði;1449;hk;gæðum;ÞGFFT
gæði;1449;hk;gæði;NFFT,ÞFFT
gæði;1449;hk;gæða;EFFT
göng;1457;hk;göng;NFFT,ÞFFT
göng;1457;hk;ganga;EFFT
göng;1457;hk;göngum;ÞGFFT
harðindi;1479;hk;harðindum;ÞGFFT
harðindi;1479;hk;harðindi;NFFT,ÞFFT
harðindi;1479;hk;harðinda;EFFT
heill;1501;hk;heillum;ÞGFFT
heill;1501;hk;heilla;EFFT
heill;1501;hk;heill;NFFT,ÞFFT
hjón;1560;hk;hjónum;ÞGFFT
hjón;1560;hk;hjóna;EFFT
hjón;1560;hk;hjón;NFFT,ÞFFT
hlunnindi;1578;hk;hlunninda;EFFT
hlunnindi;1578;hk;hlunnindi;NFFT,ÞFFT
hlunnindi;1578;hk;hlunnindum;ÞGFFT
hlýindi;1580;hk;hlýinda;EFFT
hlýindi;1580;hk;hlýindi;NFFT,ÞFFT
hlýindi;1580;hk;hlýindum;ÞGFFT
hyggindi;1747;hk;hyggindi;NFFT,ÞFFT
hyggindi;1747;hk;hyggindum;ÞGFFT
hyggindi;1747;hk;hygginda;EFFT
illindi;1780;hk;illindum;ÞGFFT
illindi;1780;hk;illinda;EFFT
illindi;1780;hk;illindi;NFFT,ÞFFT
jól;1829;hk;jól;NFFT,ÞFFT
jól;1829;hk;jóla;EFFT
jól;1829;hk;jólum;ÞGFFT
kennsl;1926;hk;kennslum;ÞGFFT
kennsl;1926;hk;kennsla;EFFT
kennsl;1926;hk;kennsl;NFFT,ÞFFT
klókindi;2004;hk;klókinda;EFFT
klókindi;2004;hk;klókindi;NFFT,ÞFFT
klókindi;2004;hk;klókindum;ÞGFFT
kynni;2197;hk;kynnum;ÞGFFT
kynni;2197;hk;kynna;EFFT
kynni;2197;hk;kynni;NFFT,ÞFFT
kynstur;2198;hk;kynstur;NFFT,ÞFFT
kynstur;2198;hk;kynstrum;ÞGFFT
kynstur;2198;hk;kynstra;EFFT
laun;2225;hk;laun;NFFT,ÞFFT
laun;2225;hk;launum;ÞGFFT
laun;2225;hk;launa;EFFT
leiðindi;2237;hk;leiðindum;ÞGFFT
leiðindi;2237;hk;leiðindi;NFFT,ÞFFT
leiðindi;2237;hk;leiðinda;EFFT
líkindi;2276;hk;líkindum;ÞGFFT
líkindi;2276;hk;líkinda;EFFT
líkindi;2276;hk;líkindi;NFFT,ÞFFT
lok;469213;hk;lokum;ÞGFFT
lok;469213;hk;lok;NFFT,ÞFFT
lok;469213;hk;loka;EFFT
læti;2330;hk;læti;NFFT,ÞFFT
læti;2330;hk;láta;EFFT
læti;2330;hk;látum;ÞGFFT
lög;2332;hk;lögum;ÞGFFT
lög;2332;hk;lög;NFFT,ÞFFT
lög;2332;hk;laga;EFFT
makindi;2346;hk;makinda;EFFT
makindi;2346;hk;makindi;NFFT,ÞFFT
makindi;2346;hk;makindum;ÞGFFT
meiðsl;2388;hk;meiðslum;ÞGFFT
meiðsl;2388;hk;meiðsla;EFFT
meiðsl;2388;hk;meiðsl;NFFT,ÞFFT
meiðsli;2389;hk;meiðsli;NFFT,ÞFFT
meiðsli;2389;hk;meiðslum;ÞGFFT
meiðsli;2389;hk;meiðsla;EFFT
met;469214;hk;metum;ÞGFFT
met;469214;hk;meta;EFFT
met;469214;hk;met;NFFT,ÞFFT
mæðgin;2510;hk;mæðginum;ÞGFFT
mæðgin;2510;hk;mæðgina;EFFT
mæðgin;2510;hk;mæðgin;NFFT,ÞFFT
mök;2517;hk;mökum;ÞGFFT
mök;2517;hk;mök;NFFT,ÞFFT
mök;2517;hk;maka;EFFT
naumindi;2541;hk;naumindi;NFFT,ÞFFT
naumindi;2541;hk;naumindum;ÞGFFT
naumindi;2541;hk;nauminda;EFFT
not;2589;hk;not;NFFT,ÞFFT
not;2589;hk;nota;EFFT
not;2589;hk;notum;ÞGFFT
rangindi;2869;hk;ranginda;EFFT
rangindi;2869;hk;rangindi;NFFT,ÞFFT
rangindi;2869;hk;rangindum;ÞGFFT
regin;2895;hk;regina;EFFT
regin;2895;hk;reginum;ÞGFFT
regin;2895;hk;regin;NFFT,ÞFFT
réttindi;2928;hk;réttindum;ÞGFFT
réttindi;2928;hk;réttindi;NFFT,ÞFFT
réttindi;2928;hk;réttinda;EFFT
rögn;3021;hk;ragna;EFFT
rögn;3021;hk;rögn;NFFT,ÞFFT
rögn;3021;hk;rögnum;ÞGFFT
rök;3022;hk;raka;EFFT
rök;3022;hk;rök;NFFT,ÞFFT
rök;3022;hk;rökum;ÞGFFT
sannindi;3056;hk;sannindi;NFFT,ÞFFT
sannindi;3056;hk;sannindum;ÞGFFT
sannindi;3056;hk;sanninda;EFFT
sárindi;3069;hk;sárindum;ÞGFFT
sárindi;3069;hk;sárindi;NFFT,ÞFFT
sárindi;3069;hk;sárinda;EFFT
skil;3195;hk;skilum;ÞGFFT
skil;3195;hk;skila;EFFT
skil;3195;hk;skil;NFFT,ÞFFT
skæri;293836;hk;skæra;EFFT
skæri;293836;hk;skæri;NFFT,ÞFFT
skæri;293836;hk;skærum;ÞGFFT
sköp;3327;hk;sköpum;ÞGFFT
sköp;3327;hk;skapa;EFFT
sköp;3327;hk;sköp;NFFT,ÞFFT
spjöll;3504;hk;spjalla;EFFT
spjöll;3504;hk;spjöll;NFFT,ÞFFT
spjöll;3504;hk;spjöllum;ÞGFFT
svið;469217;hk;svið;NFFT,ÞFFT
svið;469217;hk;sviðum;ÞGFFT
svið;469217;hk;sviða;EFFT
svik;3687;hk;svikum;ÞGFFT
svik;3687;hk;svika;EFFT
svik;3687;hk;svik;NFFT,ÞFFT
svil;479260;hk;svil;NFFT,ÞFFT
svil;479260;hk;svilum;ÞGFFT
svil;479260;hk;svila;EFFT
særindi;3716;hk;særinda;EFFT
særindi;3716;hk;særindi;NFFT,ÞFFT
særindi;3716;hk;særindum;ÞGFFT
sætindi;3718;hk;sætinda;EFFT
sætindi;3718;hk;sætindi;NFFT,ÞFFT
sætindi;3718;hk;sætindum;ÞGFFT
söl;3722;hk;sölva;EFFT
söl;3722;hk;sölvum;ÞGFFT
söl;3722;hk;söl;NFFT,ÞFFT
tengsl;3784;hk;tengsl;NFFT,ÞFFT
tengsl;3784;hk;tengsla;EFFT
tengsl;3784;hk;tengslum;ÞGFFT
tíðindi;3814;hk;tíðindum;ÞGFFT
tíðindi;3814;hk;tíðinda;EFFT
tíðindi;3814;hk;tíðindi;NFFT,ÞFFT
tólf;477297;hk;tólfum;ÞGFFT
tólf;477297;hk;tólfa;EFFT
tólf;477297;hk;tólf;NFFT,ÞFFT
veikindi;3984;hk;veikinda;EFFT
veikindi;3984;hk;veikindi;NFFT,ÞFFT
veikindi;3984;hk;veikindum;ÞGFFT
vensl;3993;hk;venslum;ÞGFFT
vensl;3993;hk;vensla;EFFT
vensl;3993;hk;vensl;NFFT,ÞFFT
vit;469218;hk;vit;NFFT,ÞFFT
vit;469218;hk;vita;EFFT
vit;469218;hk;vitum;ÞGFFT
vísindi;4054;hk;vísindum;ÞGFFT
vísindi;4054;hk;vísindi;NFFT,ÞFFT
vísindi;4054;hk;vísinda;EFFT
þrengsli;4150;hk;þrengsla;EFFT
þrengsli;4150;hk;þrengsli;NFFT,ÞFFT
þrengsli;4150;hk;þrengslum;ÞGFFT
þrif;4153;hk;þrif;NFFT,ÞFFT
þrif;4153;hk;þrifum;ÞGFFT
þrif;4153;hk;þrifa;EFFT
þyngsl;4187;hk;þyngsla;EFFT
þyngsl;4187;hk;þyngslum;ÞGFFT
þyngsl;4187;hk;þyngsl;NFFT,ÞFFT
þyngsli;4188;hk;þyngslum;ÞGFFT
þyngsli;4188;hk;þyngsla;EFFT
þyngsli;4188;hk;þyngsli;NFFT,ÞFFT
þægindi;4194;hk;þæginda;EFFT
þægindi;4194;hk;þægindum;ÞGFFT
þægindi;4194;hk;þægindi;NFFT,ÞFFT
ærsl;4201;hk;ærsla;EFFT
ærsl;4201;hk;ærsl;NFFT,ÞFFT
ærsl;4201;hk;ærslum;ÞGFFT
öræfi;4221;hk;öræfa;EFFT
öræfi;4221;hk;öræfum;ÞGFFT
öræfi;4221;hk;öræfi;NFFT,ÞFFT
