ord;audk;ordfl;beyg;mark
adrenalín;364;hk;adrenalíns;EFET
adrenalín;364;hk;adrenalíni;ÞGFET
adrenalín;364;hk;adrenalín;NFET,ÞFET
aðal;365;hk;aðals;EFET
aðal;365;hk;aðali;ÞGFET
aðal;365;hk;aðal;NFET,ÞFET
akkorð;377;hk;akkorð;NFET,ÞFET
akkorð;377;hk;akkorði;ÞGFET
akkorð;377;hk;akkorðs;EFET
aktín;379;hk;aktín;NFET,ÞFET
aktín;379;hk;aktíni;ÞGFET
aktín;379;hk;aktíns;EFET
alkóhól;387;hk;alkóhól;NFET,ÞFET
alkóhól;387;hk;alkóhóli;ÞGFET
alkóhól;387;hk;alkóhóls;EFET
ameríkín;477867;hk;ameríkín;NFET,ÞFET
ameríkín;477867;hk;ameríkíni;ÞGFET
ameríkín;477867;hk;ameríkíns;EFET
amfetamín;400;hk;amfetamín;NFET,ÞFET
amfetamín;400;hk;amfetamíni;ÞGFET
amfetamín;400;hk;amfetamíns;EFET
ammoníak;402;hk;ammoníaks;EFET
ammoníak;402;hk;ammoníak;NFET,ÞFET
ammoníak;402;hk;ammoníaki;ÞGFET
amstur;405;hk;amstri;ÞGFET
amstur;405;hk;amsturs;EFET
amstur;405;hk;amstur;NFET,ÞFET
an;416851;hk;ani;ÞGFET
an;416851;hk;an;NFET,ÞFET
an;416851;hk;ans;EFET
angur;412;hk;angri;ÞGFET
angur;412;hk;angur;NFET,ÞFET
angur;412;hk;angurs;EFET
antímon;425;hk;antímon;NFET,ÞFET
antímon;425;hk;antímoni;ÞGFET
antímon;425;hk;antímons;EFET
appelsín;429;hk;appelsíni;ÞGFET
appelsín;429;hk;appelsíns;EFET
appelsín;429;hk;appelsín;NFET,ÞFET
arg;433;hk;arg;NFET,ÞFET
arg;433;hk;argi;ÞGFET
arg;433;hk;args;EFET
argon;434;hk;argon;NFET,ÞFET
argon;434;hk;argoni;ÞGFET
argon;434;hk;argons;EFET
arsen;438;hk;arsens;EFET
arsen;438;hk;arsen;NFET,ÞFET
arsen;438;hk;arseni;ÞGFET
arseník;440;hk;arseník;NFET,ÞFET
arseník;440;hk;arseníks;EFET
arseník;440;hk;arseníki;ÞGFET
asbest;442;hk;asbesti;ÞGFET
asbest;442;hk;asbests;EFET
asbest;442;hk;asbest;NFET,ÞFET
aseton;427405;hk;aseton;NFET,ÞFET
aseton;427405;hk;asetoni;ÞGFET
aseton;427405;hk;asetons;EFET
