ord;audk;ordfl;beyg;mark
ax;459;hk;öxum;ÞGFFT
ax;459;hk;ax;NFET,ÞFET,EFET
ax;459;hk;axa;EFFT
ax;459;hk;axi;ÞGFET
ax;459;hk;öx;NFFT,ÞFFT
fals;975;hk;fölsum;ÞGFFT
fals;975;hk;föls;NFFT,ÞFFT
fals;975;hk;fals;NFET,ÞFET,EFET
fals;975;hk;falsa;EFFT
fals;975;hk;falsi;ÞGFET
fax;990;hk;föxum;ÞGFFT
fax;990;hk;föx;NFFT,ÞFFT
fax;990;hk;faxi;ÞGFET
fax;990;hk;faxa;EFFT
fax;990;hk;fax;NFET,ÞFET,EFET
flass;1067;hk;flössum;ÞGFFT
flass;1067;hk;flassa;EFFT
flass;1067;hk;flass;NFET,ÞFET,EFET
flass;1067;hk;flöss;NFFT,ÞFFT
flass;1067;hk;flassi;ÞGFET
hlass;1567;hk;hlössum;ÞGFFT
hlass;1567;hk;hlöss;NFFT,ÞFFT
hlass;1567;hk;hlass;NFET,ÞFET,EFET
hlass;1567;hk;hlassi;ÞGFET
hlass;1567;hk;hlassa;EFFT
krafs;2081;hk;krafsa;EFFT
krafs;2081;hk;krafsi;ÞGFET
krafs;2081;hk;krafs;NFET,ÞFET,EFET
krafs;2081;hk;kröfsum;ÞGFFT
krafs;2081;hk;kröfs;NFFT,ÞFFT
sax;3063;hk;saxa;EFFT
sax;3063;hk;saxi;ÞGFET
sax;3063;hk;sax;NFET,ÞFET,EFET
sax;3063;hk;söx;NFFT,ÞFFT
sax;3063;hk;söxum;ÞGFFT
skass;3176;hk;sköss;NFFT,ÞFFT
skass;3176;hk;skössum;ÞGFFT
skass;3176;hk;skass;NFET,ÞFET,EFET
skass;3176;hk;skassa;EFFT
skass;3176;hk;skassi;ÞGFET
