ord;audk;ordfl;beyg;mark
auga;4315;hk;augna;EFFT
auga;4315;hk;auga;NFET,ÞFET,ÞGFET,EFET
auga;4315;hk;augu;NFFT,ÞFFT
auga;4315;hk;augum;ÞGFFT
bjúga;4319;hk;bjúgu;NFFT,ÞFFT
bjúga;4319;hk;bjúgum;ÞGFFT
bjúga;4319;hk;bjúga;NFET,ÞFET,ÞGFET,EFET
bjúga;4319;hk;bjúgna;EFFT
eista;4316;hk;eistna;EFFT
eista;4316;hk;eistu;NFFT,ÞFFT
eista;4316;hk;eistum;ÞGFFT
eista;4316;hk;eista;NFET,ÞFET,ÞGFET,EFET
eyra;4317;hk;eyrna;EFFT
eyra;4317;hk;eyru;NFFT,ÞFFT
eyra;4317;hk;eyrum;ÞGFFT
eyra;4317;hk;eyra;NFET,ÞFET,ÞGFET,EFET
hjarta;4320;hk;hjörtu;NFFT,ÞFFT
hjarta;4320;hk;hjartna;EFFT
hjarta;4320;hk;hjarta;NFET,ÞFET,ÞGFET,EFET
hjarta;4320;hk;hjörtum;ÞGFFT
lunga;4312;hk;lungum;ÞGFFT
lunga;4312;hk;lunga;NFET,ÞFET,ÞGFET,EFET
lunga;4312;hk;lungna;EFFT
lunga;4312;hk;lungu;NFFT,ÞFFT
milta;4313;hk;miltum;ÞGFFT
milta;4313;hk;miltu;NFFT,ÞFFT
milta;4313;hk;milta;NFET,ÞFET,ÞGFET,EFET
milta;4313;hk;miltna;EFFT
nýra;4314;hk;nýra;NFET,ÞFET,ÞGFET,EFET
nýra;4314;hk;nýrum;ÞGFFT
nýra;4314;hk;nýrna;EFFT
nýra;4314;hk;nýru;NFFT,ÞFFT
