ord;audk;ordfl;beyg;mark
diplóma;483782;hk;diplómum;ÞGFFT
diplóma;483782;hk;diplómu;NFFT,ÞFFT
diplóma;483782;hk;diplóma;NFET,ÞFET,ÞGFET,EFET,EFFT
drama;4311;hk;drömum;ÞGFFT
drama;4311;hk;drama;NFET,ÞFET,ÞGFET,EFET,EFFT
drama;4311;hk;drömu;NFFT,ÞFFT
hnoða;4237;hk;hnoðum;ÞGFFT
hnoða;4237;hk;hnoðu;NFFT,ÞFFT
hnoða;4237;hk;hnoða;NFET,ÞFET,ÞGFET,EFET,EFFT
melódrama;470510;hk;melódrama;NFET,ÞFET,ÞGFET,EFET,EFFT
melódrama;470510;hk;melódrömu;NFFT,ÞFFT
melódrama;470510;hk;melódrömum;ÞGFFT
prisma;4226;hk;prismum;ÞGFFT
prisma;4226;hk;prisma;NFET,ÞFET,ÞGFET,EFET,EFFT
prisma;4226;hk;prismu;NFFT,ÞFFT
síma;4227;hk;símum;ÞGFFT
síma;4227;hk;símu;NFFT,ÞFFT
síma;4227;hk;síma;NFET,ÞFET,ÞGFET,EFET,EFFT
skema;4242;hk;skemum;ÞGFFT
skema;4242;hk;skema;NFET,ÞFET,ÞGFET,EFET,EFFT
skema;4242;hk;skemu;NFFT,ÞFFT
vélinda;4230;hk;vélindu;NFFT,ÞFFT
vélinda;4230;hk;vélindum;ÞGFFT
vélinda;4230;hk;vélinda;NFET,ÞFET,ÞGFET,EFET,EFFT
þema;4229;hk;þema;NFET,ÞFET,ÞGFET,EFET,EFFT
þema;4229;hk;þemum;ÞGFFT
þema;4229;hk;þemu;NFFT,ÞFFT
