ord;audk;ordfl;beyg;mark
beygur;5928;kk;beyg;ÞFET,ÞGFET
beygur;5928;kk;beygs;EFET
beygur;5928;kk;beygur;NFET
Birgir;353871;kk;Birgir;NFET
Birgir;353871;kk;Birgi;ÞFET,ÞGFET
Birgir;353871;kk;Birgis;EFET
Birkir;353872;kk;Birkir;NFET
Birkir;353872;kk;Birkis;EFET
Birkir;353872;kk;Birki;ÞFET,ÞGFET
Birnir;353873;kk;Birni;ÞFET,ÞGFET
Birnir;353873;kk;Birnir;NFET
Birnir;353873;kk;Birnis;EFET
bjúgur;5929;kk;bjúgur;NFET
bjúgur;5929;kk;bjúgs;EFET
bjúgur;5929;kk;bjúg;ÞFET,ÞGFET
Blær;353888;kk;Blæ;ÞFET,ÞGFET
Blær;353888;kk;Blæs;EFET
Blær;353888;kk;Blær;NFET
dauður;559799;kk;dauð;ÞFET,ÞGFET
dauður;559799;kk;dauðs;EFET
dauður;559799;kk;dauður;NFET
Draupnir;353954;kk;Draupni;ÞFET,ÞGFET
Draupnir;353954;kk;Draupnir;NFET
Draupnir;353954;kk;Draupnis;EFET
drukkur;5946;kk;drukk;ÞFET,ÞGFET
drukkur;5946;kk;drukks;EFET
drukkur;5946;kk;drukkur;NFET
dugur;5930;kk;dugur;NFET
dugur;5930;kk;dug;ÞFET,ÞGFET
dugur;5930;kk;dugs;EFET
eimur;5822;kk;eimur;NFET
eimur;5822;kk;eim;ÞFET,ÞGFET
eimur;5822;kk;eims;EFET
einir;4542;kk;einir;NFET
einir;4542;kk;einis;EFET
einir;4542;kk;eini;ÞFET,ÞGFET
Ernir;354027;kk;Ernir;NFET
Ernir;354027;kk;Erni;ÞFET,ÞGFET
Ernir;354027;kk;Ernis;EFET
Fáfnir;354050;kk;Fáfni;ÞFET,ÞGFET
Fáfnir;354050;kk;Fáfnir;NFET
Fáfnir;354050;kk;Fáfnis;EFET
fellir;464098;kk;felli;ÞFET,ÞGFET
fellir;464098;kk;fellir;NFET
fellir;464098;kk;fellis;EFET
Fjölnir;354066;kk;Fjölnis;EFET
Fjölnir;354066;kk;Fjölnir;NFET
Fjölnir;354066;kk;Fjölni;ÞFET,ÞGFET
flengur;5952;kk;flengur;NFET
flengur;5952;kk;flengs;EFET
flengur;5952;kk;fleng;ÞFET,ÞGFET
flýtir;4547;kk;flýtir;NFET
flýtir;4547;kk;flýtis;EFET
flýtir;4547;kk;flýti;ÞFET,ÞGFET
Freyr;354086;kk;Frey;ÞFET,ÞGFET
Freyr;354086;kk;Freyr;NFET
Freyr;354086;kk;Freys;EFET
gaumur;5922;kk;gaum;ÞFET,ÞGFET
gaumur;5922;kk;gaums;EFET
gaumur;5922;kk;gaumur;NFET
gáll;4794;kk;gáll;NFET
gáll;4794;kk;gál;ÞFET,ÞGFET
gáll;4794;kk;gáls;EFET
geigur;5931;kk;geigs;EFET
geigur;5931;kk;geigur;NFET
geigur;5931;kk;geig;ÞFET,ÞGFET
glitnir;4557;kk;glitni;ÞFET,ÞGFET
glitnir;4557;kk;glitnir;NFET
glitnir;4557;kk;glitnis;EFET
glymur;5773;kk;glymur;NFET
glymur;5773;kk;glym;ÞFET,ÞGFET
glymur;5773;kk;glyms;EFET
glær;5216;kk;glær;NFET
glær;5216;kk;glæs;EFET
glær;5216;kk;glæ;ÞFET,ÞGFET
Grettir;354151;kk;Grettis;EFET
Grettir;354151;kk;Grettir;NFET
Grettir;354151;kk;Gretti;ÞFET,ÞGFET
grunur;190476;kk;grun;ÞFET,ÞGFET
grunur;190476;kk;gruns;EFET
grunur;190476;kk;grunur;NFET
grútur;5641;kk;grútur;NFET
grútur;5641;kk;grútar;EFET
grútur;5641;kk;grút;ÞFET,ÞGFET
græðir;4564;kk;græðis;EFET
græðir;4564;kk;græði;ÞFET,ÞGFET
græðir;4564;kk;græðir;NFET
gýgur;478668;kk;gýg;ÞFET,ÞGFET
gýgur;478668;kk;gýgs;EFET
gýgur;478668;kk;gýgur;NFET
Gyrðir;354172;kk;Gyrði;ÞFET,ÞGFET
Gyrðir;354172;kk;Gyrðir;NFET
Gyrðir;354172;kk;Gyrðis;EFET
Heimir;354209;kk;Heimis;EFET
Heimir;354209;kk;Heimir;NFET
Heimir;354209;kk;Heimi;ÞFET,ÞGFET
herðir;4576;kk;herðis;EFET
herðir;4576;kk;herði;ÞFET,ÞGFET
herðir;4576;kk;herðir;NFET
Hersir;354227;kk;Hersis;EFET
Hersir;354227;kk;Hersi;ÞFET,ÞGFET
Hersir;354227;kk;Hersir;NFET
Hilmir;354240;kk;Hilmi;ÞFET,ÞGFET
Hilmir;354240;kk;Hilmis;EFET
Hilmir;354240;kk;Hilmir;NFET
hleypir;4579;kk;hleypi;ÞFET,ÞGFET
hleypir;4579;kk;hleypir;NFET
hleypir;4579;kk;hleypis;EFET
hnekkir;4583;kk;hnekki;ÞFET,ÞGFET
hnekkir;4583;kk;hnekkir;NFET
hnekkir;4583;kk;hnekkis;EFET
Huginn;354296;kk;Hugin;ÞFET,ÞGFET
Huginn;354296;kk;Huginn;NFET
Huginn;354296;kk;Hugins;EFET
hvinur;5775;kk;hvin;ÞFET,ÞGFET
hvinur;5775;kk;hvins;EFET
hvinur;5775;kk;hvinur;NFET
kanill;4810;kk;kanils;EFET
kanill;4810;kk;kanil;ÞFET,ÞGFET
kanill;4810;kk;kanill;NFET
Keilir;263683;kk;Keili;ÞFET,ÞGFET
Keilir;263683;kk;Keilir;NFET
Keilir;263683;kk;Keilis;EFET
keimur;6279;kk;keim;ÞFET,ÞGFET
keimur;6279;kk;keimur;NFET
keimur;6279;kk;keims;EFET
kísill;479448;kk;kísil;ÞFET,ÞGFET
kísill;479448;kk;kísils;EFET
kísill;479448;kk;kísill;NFET
krytur;5820;kk;kryts;EFET
krytur;5820;kk;krytur;NFET
krytur;5820;kk;kryt;ÞFET,ÞGFET
Leiknir;354505;kk;Leiknis;EFET
Leiknir;354505;kk;Leiknir;NFET
Leiknir;354505;kk;Leikni;ÞFET,ÞGFET
ljóður;5821;kk;ljóð;ÞFET,ÞGFET
ljóður;5821;kk;ljóðs;EFET
ljóður;5821;kk;ljóður;NFET
lurgur;5954;kk;lurg;ÞFET,ÞGFET
lurgur;5954;kk;lurgur;NFET
lurgur;5954;kk;lurgs;EFET
Lýður;354539;kk;Lýður;NFET
Lýður;354539;kk;Lýðs;EFET
Lýður;354539;kk;Lýð;ÞFET,ÞGFET
Már;354587;kk;Má;ÞFET,ÞGFET
Már;354587;kk;Már;NFET
Már;354587;kk;Más;EFET
mergur;391197;kk;merg;ÞFET,ÞGFET
mergur;391197;kk;mergur;NFET
mergur;391197;kk;mergjar;EFET
metall;4807;kk;metall;NFET
metall;4807;kk;metal;ÞFET,ÞGFET
metall;4807;kk;metals;EFET
missir;4607;kk;missis;EFET
missir;4607;kk;missir;NFET
missir;4607;kk;missi;ÞFET,ÞGFET
Mímir;354604;kk;Mími;ÞFET,ÞGFET
Mímir;354604;kk;Mímis;EFET
Mímir;354604;kk;Mímir;NFET
mjúkur;417672;kk;mjúks;EFET
mjúkur;417672;kk;mjúk;ÞFET,ÞGFET
mjúkur;417672;kk;mjúkur;NFET
Mjölnir;354605;kk;Mjölnis;EFET
Mjölnir;354605;kk;Mjölnir;NFET
