ord;audk;ordfl;beyg;mark
Adam;353735;kk;Adam;NFET,ÞFET,ÞGFET
Adam;353735;kk;Adams;EFET
Adolf;353738;kk;Adolf;NFET,ÞFET,ÞGFET
Adolf;353738;kk;Adolfs;EFET
Alexander;353752;kk;Alexanders;EFET
Alexander;353752;kk;Alexander;NFET,ÞFET,ÞGFET
Alfons;479220;kk;Alfonsar;EFET
Alfons;479220;kk;Alfons;NFET,ÞFET,ÞGFET
anís;484266;kk;anís;NFET,ÞFET,ÞGFET
anís;484266;kk;aníss;EFET
Anton;353780;kk;Antons;EFET
Anton;353780;kk;Anton;NFET,ÞFET,ÞGFET
arkitektúr;484331;kk;arkitektúrs;EFET
arkitektúr;484331;kk;arkitektúr;NFET,ÞFET,ÞGFET
Axel;353818;kk;Axel;NFET,ÞFET,ÞGFET
Axel;353818;kk;Axels;EFET
Ás;353832;kk;Áss;EFET
Ás;353832;kk;Ás;NFET,ÞFET,ÞGFET
Baltasar;353839;kk;Baltasar;NFET,ÞFET,ÞGFET
Baltasar;353839;kk;Baltasars;EFET
Benedikt;353849;kk;Benedikts;EFET
Benedikt;353849;kk;Benedikt;NFET,ÞFET,ÞGFET
Benjamín;353851;kk;Benjamíns;EFET
Benjamín;353851;kk;Benjamín;NFET,ÞFET,ÞGFET
Benóný;353857;kk;Benóný;NFET,ÞFET,ÞGFET
Benóný;353857;kk;Benónýs;EFET
Bent;353858;kk;Bents;EFET
Bent;353858;kk;Bent;NFET,ÞFET,ÞGFET
beríberí;484578;kk;beríberís;EFET
beríberí;484578;kk;beríberí;NFET,ÞFET,ÞGFET
Bertel;353866;kk;Bertels;EFET
Bertel;353866;kk;Bertel;NFET,ÞFET,ÞGFET
bitter;5389;kk;bitter;NFET,ÞFET,ÞGFET
bitter;5389;kk;bitters;EFET
Bóbó;485409;kk;Bóbó;NFET,ÞFET,ÞGFET
Bóbó;485409;kk;Bóbós;EFET
Daníel;353934;kk;Daníel;NFET,ÞFET,ÞGFET
Daníel;353934;kk;Daníels;EFET
Davíð;353940;kk;Davíð;NFET,ÞFET,ÞGFET
Davíð;353940;kk;Davíðs;EFET
djús;416736;kk;djúss;EFET
djús;416736;kk;djús;NFET,ÞFET,ÞGFET
Dór;353950;kk;Dór;NFET,ÞFET,ÞGFET
Dór;353950;kk;Dórs;EFET
eir;5327;kk;eir;NFET,ÞFET,ÞGFET
eir;5327;kk;eirs;EFET
Ellert;354004;kk;Ellerts;EFET
Ellert;354004;kk;Ellert;NFET,ÞFET,ÞGFET
Emil;354013;kk;Emil;NFET,ÞFET,ÞGFET
Emil;354013;kk;Emils;EFET
engifer;480199;kk;engifers;EFET
engifer;480199;kk;engifer;NFET,ÞFET,ÞGFET
Enok;354018;kk;Enoks;EFET
Enok;354018;kk;Enok;NFET,ÞFET,ÞGFET
eter;5395;kk;eters;EFET
eter;5395;kk;eter;NFET,ÞFET,ÞGFET
flúor;486743;kk;flúors;EFET
flúor;486743;kk;flúor;NFET,ÞFET,ÞGFET
