ord;audk;ordfl;beyg;mark
Agnar;353744;kk;Agnar;NFET,ÞFET
Agnar;353744;kk;Agnari;ÞGFET
Agnar;353744;kk;Agnars;EFET
akkur;293279;kk;akkurs;EFET
akkur;293279;kk;akkur;NFET,ÞFET
akkur;293279;kk;akkri;ÞGFET
akstur;472163;kk;akstri;ÞGFET
akstur;472163;kk;akstur;NFET,ÞFET
akstur;472163;kk;aksturs;EFET
Almar;353758;kk;Almar;NFET,ÞFET
Almar;353758;kk;Almari;ÞGFET
Almar;353758;kk;Almars;EFET
Alvar;353760;kk;Alvars;EFET
Alvar;353760;kk;Alvari;ÞGFET
Alvar;353760;kk;Alvar;NFET,ÞFET
Andrés;353767;kk;Andrési;ÞGFET
Andrés;353767;kk;Andrésar;EFET
Andrés;353767;kk;Andrés;NFET,ÞFET
Arilíus;353788;kk;Arilíusar;EFET
Arilíus;353788;kk;Arilíus;NFET,ÞFET
Arilíus;353788;kk;Arilíusi;ÞGFET
Arnar;353792;kk;Arnar;NFET,ÞFET
Arnar;353792;kk;Arnars;EFET
Arnar;353792;kk;Arnari;ÞGFET
Arnór;353796;kk;Arnór;NFET,ÞFET
Arnór;353796;kk;Arnórs;EFET
Arnór;353796;kk;Arnóri;ÞGFET
Aron;353797;kk;Aron;NFET,ÞFET
Aron;353797;kk;Arons;EFET
Aron;353797;kk;Aroni;ÞGFET
Artúr;353801;kk;Artúri;ÞGFET
Artúr;353801;kk;Artúr;NFET,ÞFET
Artúr;353801;kk;Artúrs;EFET
Auðun;353811;kk;Auðun;NFET,ÞFET
Auðun;353811;kk;Auðuni;ÞGFET
Auðun;353811;kk;Auðuns;EFET
Ágúst;488524;kk;Ágúst;NFET,ÞFET
Ágúst;488524;kk;Ágústi;ÞGFET
Ágúst;488524;kk;Ágústs;EFET
árangur;472178;kk;árangri;ÞGFET
árangur;472178;kk;árangur;NFET,ÞFET
árangur;472178;kk;árangurs;EFET
Bakkus;4372;kk;Bakkus;NFET,ÞFET
Bakkus;4372;kk;Bakkusi;ÞGFET
Bakkus;4372;kk;Bakkusar;EFET
Baldur;353838;kk;Baldurs;EFET
Baldur;353838;kk;Baldur;NFET,ÞFET
Baldur;353838;kk;Baldri;ÞGFET
berangur;472198;kk;berangur;NFET,ÞFET
berangur;472198;kk;berangri;ÞGFET
berangur;472198;kk;berangurs;EFET
Bjarkar;353876;kk;Bjarkari;ÞGFET
Bjarkar;353876;kk;Bjarkars;EFET
Bjarkar;353876;kk;Bjarkar;NFET,ÞFET
Bjarnar;353880;kk;Bjarnari;ÞGFET
Bjarnar;353880;kk;Bjarnars;EFET
Bjarnar;353880;kk;Bjarnar;NFET,ÞFET
Björn;353885;kk;Björn;NFET,ÞFET
Björn;353885;kk;Björns;EFET
Björn;353885;kk;Birni;ÞGFET
Bóas;353895;kk;Bóas;NFET,ÞFET
Bóas;353895;kk;Bóasar;EFET
Bóas;353895;kk;Bóasi;ÞGFET
Borgar;353894;kk;Borgars;EFET
Borgar;353894;kk;Borgari;ÞGFET
Borgar;353894;kk;Borgar;NFET,ÞFET
Brynjar;353909;kk;Brynjar;NFET,ÞFET
Brynjar;353909;kk;Brynjars;EFET
