ord;audk;ordfl;beyg;mark
Alpar;484342;kk;Alpa;ÞFFT,EFFT
Alpar;484342;kk;Ölpum;ÞGFFT
Alpar;484342;kk;Alpar;NFFT
Englar;489004;kk;Englum;ÞGFFT
Englar;489004;kk;Englar;NFFT
Englar;489004;kk;Engla;ÞFFT,EFFT
feðgar;413658;kk;feðga;ÞFFT,EFFT
feðgar;413658;kk;feðgar;NFFT
feðgar;413658;kk;feðgum;ÞGFFT
foreldrar;9735;kk;foreldrar;NFFT
foreldrar;9735;kk;foreldrum;ÞGFFT
foreldrar;9735;kk;foreldra;ÞFFT,EFFT
glæfrar;484341;kk;glæfrum;ÞGFFT
glæfrar;484341;kk;glæfrar;NFFT
glæfrar;484341;kk;glæfra;ÞFFT,EFFT
hafrar;8952;kk;hafrar;NFFT
hafrar;8952;kk;hafra;ÞFFT,EFFT
hafrar;8952;kk;höfrum;ÞGFFT
Hellnar;479223;kk;Hellna;ÞFFT,EFFT
Hellnar;479223;kk;Hellnar;NFFT
Hellnar;479223;kk;Hellnum;ÞGFFT
kniplingar;559943;kk;kniplinga;ÞFFT,EFFT
kniplingar;559943;kk;kniplingar;NFFT
kniplingar;559943;kk;kniplingum;ÞGFFT
mislingar;486501;kk;mislingar;NFFT
mislingar;486501;kk;mislinga;ÞFFT,EFFT
mislingar;486501;kk;mislingum;ÞGFFT
órar;465408;kk;órum;ÞGFFT
órar;465408;kk;órar;NFFT
órar;465408;kk;óra;ÞFFT,EFFT
páskar;396697;kk;páskar;NFFT
páskar;396697;kk;páska;ÞFFT,EFFT
páskar;396697;kk;páskum;ÞGFFT
töfrar;410137;kk;töfrum;ÞGFFT
töfrar;410137;kk;töfrar;NFFT
töfrar;410137;kk;töfra;ÞFFT,EFFT
