ord;audk;ordfl;beyg;mark
dans;4362;kk;dansa;ÞFFT,EFFT
dans;4362;kk;dansar;NFFT
dans;4362;kk;dansi;ÞGFET
dans;4362;kk;dans;NFET,ÞFET,EFET
dans;4362;kk;dönsum;ÞGFFT
foss;4355;kk;fossum;ÞGFFT
foss;4355;kk;fossi;ÞGFET
foss;4355;kk;fossar;NFFT
foss;4355;kk;fossa;ÞFFT,EFFT
foss;4355;kk;foss;NFET,ÞFET,EFET
hams;4363;kk;hams;NFET,ÞFET,EFET
hams;4363;kk;hömsum;ÞGFFT
hams;4363;kk;hamsa;ÞFFT,EFFT
hams;4363;kk;hamsar;NFFT
hams;4363;kk;hamsi;ÞGFET
háls;4356;kk;hálsar;NFFT
háls;4356;kk;hálsi;ÞGFET
háls;4356;kk;hálsum;ÞGFFT
háls;4356;kk;hálsa;ÞFFT,EFFT
háls;4356;kk;háls;NFET,ÞFET,EFET
koss;4359;kk;koss;NFET,ÞFET,EFET
koss;4359;kk;kossa;ÞFFT,EFFT
koss;4359;kk;kossar;NFFT
koss;4359;kk;kossi;ÞGFET
koss;4359;kk;kossum;ÞGFFT
krans;4354;kk;krönsum;ÞGFFT
krans;4354;kk;kransi;ÞGFET
krans;4354;kk;kransa;ÞFFT,EFFT
krans;4354;kk;kransar;NFFT
krans;4354;kk;krans;NFET,ÞFET,EFET
kross;4357;kk;kross;NFET,ÞFET,EFET
kross;4357;kk;krossum;ÞGFFT
kross;4357;kk;krossa;ÞFFT,EFFT
kross;4357;kk;krossar;NFFT
kross;4357;kk;krossi;ÞGFET
kúrs;4369;kk;kúrsa;ÞFFT,EFFT
kúrs;4369;kk;kúrsi;ÞGFET
kúrs;4369;kk;kúrsum;ÞGFFT
kúrs;4369;kk;kúrs;NFET,ÞFET,EFET
kúrs;4369;kk;kúrsar;NFFT
lax;4365;kk;löxum;ÞGFFT
lax;4365;kk;laxi;ÞGFET
lax;4365;kk;laxar;NFFT
lax;4365;kk;laxa;ÞFFT,EFFT
lax;4365;kk;lax;NFET,ÞFET,EFET
prins;4352;kk;prins;NFET,ÞFET,EFET
prins;4352;kk;prinsa;ÞFFT,EFFT
prins;4352;kk;prinsar;NFFT
prins;4352;kk;prinsi;ÞGFET
prins;4352;kk;prinsum;ÞGFFT
púls;4358;kk;púlsum;ÞGFFT
púls;4358;kk;púlsi;ÞGFET
púls;4358;kk;púlsar;NFFT
púls;4358;kk;púlsa;ÞFFT,EFFT
púls;4358;kk;púls;NFET,ÞFET,EFET
rass;4366;kk;rassar;NFFT
rass;4366;kk;rössum;ÞGFFT
rass;4366;kk;rassi;ÞGFET
rass;4366;kk;rassa;ÞFFT,EFFT
rass;4366;kk;rass;NFET,ÞFET,EFET
sess;4353;kk;sess;NFET,ÞFET,EFET
sess;4353;kk;sessar;NFFT
sess;4353;kk;sessi;ÞGFET
sess;4353;kk;sessum;ÞGFFT
sess;4353;kk;sessa;ÞFFT,EFFT
trans;477270;kk;transi;ÞGFET
trans;477270;kk;trönsum;ÞGFFT
trans;477270;kk;trans;NFET,ÞFET,EFET
trans;477270;kk;transa;ÞFFT,EFFT
trans;477270;kk;transar;NFFT
vals;4368;kk;valsi;ÞGFET
vals;4368;kk;völsum;ÞGFFT
vals;4368;kk;valsar;NFFT
vals;4368;kk;valsa;ÞFFT,EFFT
vals;4368;kk;vals;NFET,ÞFET,EFET
