ord;audk;ordfl;beyg;mark
aðmíráll;4789;kk;aðmírálum;ÞGFFT
aðmíráll;4789;kk;aðmíráls;EFET
aðmíráll;4789;kk;aðmíráll;NFET
aðmíráll;4789;kk;aðmírálar;NFFT
aðmíráll;4789;kk;aðmírála;ÞFFT,EFFT
aðmíráll;4789;kk;aðmírál;ÞFET,ÞGFET
annáll;4783;kk;annála;ÞFFT,EFFT
annáll;4783;kk;annáls;EFET
annáll;4783;kk;annál;ÞFET,ÞGFET
annáll;4783;kk;annálum;ÞGFFT
annáll;4783;kk;annáll;NFET
annáll;4783;kk;annálar;NFFT
áll;4757;kk;álum;ÞGFFT
áll;4757;kk;álar;NFFT
áll;4757;kk;áls;EFET
áll;4757;kk;ála;ÞFFT,EFFT
áll;4757;kk;ál;ÞFET,ÞGFET
áll;4757;kk;áll;NFET
baukur;5834;kk;bauk;ÞFET,ÞGFET
baukur;5834;kk;bauka;ÞFFT,EFFT
baukur;5834;kk;baukar;NFFT
baukur;5834;kk;bauks;EFET
baukur;5834;kk;baukum;ÞGFFT
baukur;5834;kk;baukur;NFET
beinir;4387;kk;beinum;ÞGFFT
beinir;4387;kk;beinar;NFFT
beinir;4387;kk;beinis;EFET
beinir;4387;kk;beina;ÞFFT,EFFT
beinir;4387;kk;beini;ÞFET,ÞGFET
beinir;4387;kk;beinir;NFET
bendir;490083;kk;bendir;NFET
bendir;490083;kk;bendum;ÞGFFT
bendir;490083;kk;benda;ÞFFT,EFFT
bendir;490083;kk;bendar;NFFT
bendir;490083;kk;bendis;EFET
bendir;490083;kk;bendi;ÞFET,ÞGFET
beykir;4737;kk;beykja;ÞFFT,EFFT
beykir;4737;kk;beyki;ÞFET,ÞGFET
beykir;4737;kk;beykir;NFET
beykir;4737;kk;beykis;EFET
beykir;4737;kk;beykjar;NFFT
beykir;4737;kk;beykjum;ÞGFFT
birgir;4528;kk;birgjum;ÞGFFT
birgir;4528;kk;birgjar;NFFT
birgir;4528;kk;birgis;EFET
birgir;4528;kk;birgir;NFET
birgir;4528;kk;birgi;ÞFET,ÞGFET
birgir;4528;kk;birgja;ÞFFT,EFFT
bíll;4758;kk;bíl;ÞFET,ÞGFET
bíll;4758;kk;bílum;ÞGFFT
bíll;4758;kk;bílar;NFFT
bíll;4758;kk;bíla;ÞFFT,EFFT
bíll;4758;kk;bíls;EFET
bíll;4758;kk;bíll;NFET
bógur;5811;kk;bógur;NFET
bógur;5811;kk;bógum;ÞGFFT
bógur;5811;kk;bógs;EFET
bógur;5811;kk;bógar;NFFT
bógur;5811;kk;bóga;ÞFFT,EFFT
bógur;5811;kk;bóg;ÞFET,ÞGFET
bukkur;5788;kk;bukkum;ÞGFFT
bukkur;5788;kk;bukks;EFET
bukkur;5788;kk;bukkar;NFFT
bukkur;5788;kk;bukka;ÞFFT,EFFT
bukkur;5788;kk;bukk;ÞFET,ÞGFET
bukkur;5788;kk;bukkur;NFET
bútur;5915;kk;bútar;NFFT
bútur;5915;kk;bút;ÞFET,ÞGFET
bútur;5915;kk;búts;EFET
bútur;5915;kk;bútur;NFET
bútur;5915;kk;bútum;ÞGFFT
bútur;5915;kk;búta;ÞFFT,EFFT
bærir;4396;kk;bæra;ÞFFT,EFFT
bærir;4396;kk;bærar;NFFT
bærir;4396;kk;bæri;ÞFET,ÞGFET
bærir;4396;kk;bærir;NFET
bærir;4396;kk;bæris;EFET
bærir;4396;kk;bærum;ÞGFFT
bætir;4397;kk;bæti;ÞFET,ÞGFET
bætir;4397;kk;bæta;ÞFFT,EFFT
bætir;4397;kk;bætar;NFFT
bætir;4397;kk;bætir;NFET
bætir;4397;kk;bætis;EFET
bætir;4397;kk;bætum;ÞGFFT
böggur;436328;kk;böggs;EFET
böggur;436328;kk;bögg;ÞFET,ÞGFET
böggur;436328;kk;bögga;ÞFFT,EFFT
böggur;436328;kk;böggar;NFFT
böggur;436328;kk;böggum;ÞGFFT
böggur;436328;kk;böggur;NFET
dilkur;5849;kk;dilk;ÞFET,ÞGFET
dilkur;5849;kk;dilka;ÞFFT,EFFT
dilkur;5849;kk;dilkar;NFFT
dilkur;5849;kk;dilks;EFET
dilkur;5849;kk;dilkur;NFET
dilkur;5849;kk;dilkum;ÞGFFT
díll;4760;kk;díl;ÞFET,ÞGFET
díll;4760;kk;dílar;NFFT
díll;4760;kk;díll;NFET
díll;4760;kk;díls;EFET
díll;4760;kk;dílum;ÞGFFT
díll;4760;kk;díla;ÞFFT,EFFT
draugur;5880;kk;draug;ÞFET,ÞGFET
draugur;5880;kk;drauga;ÞFFT,EFFT
draugur;5880;kk;draugar;NFFT
draugur;5880;kk;draugs;EFET
draugur;5880;kk;draugum;ÞGFFT
draugur;5880;kk;draugur;NFET
durgur;5910;kk;durgur;NFET
durgur;5910;kk;durgum;ÞGFFT
durgur;5910;kk;durgs;EFET
durgur;5910;kk;durg;ÞFET,ÞGFET
durgur;5910;kk;durga;ÞFFT,EFFT
durgur;5910;kk;durgar;NFFT
dúkur;5835;kk;dúkar;NFFT
dúkur;5835;kk;dúk;ÞFET,ÞGFET
dúkur;5835;kk;dúkur;NFET
dúkur;5835;kk;dúkum;ÞGFFT
dúkur;5835;kk;dúka;ÞFFT,EFFT
dúkur;5835;kk;dúks;EFET
dvergur;5911;kk;dverga;ÞFFT,EFFT
dvergur;5911;kk;dvergum;ÞGFFT
dvergur;5911;kk;dvergs;EFET
dvergur;5911;kk;dvergar;NFFT
dvergur;5911;kk;dverg;ÞFET,ÞGFET
dvergur;5911;kk;dvergur;NFET
elrir;480208;kk;elris;EFET
elrir;480208;kk;elrum;ÞGFFT
elrir;480208;kk;elra;ÞFFT,EFFT
elrir;480208;kk;elrar;NFFT
elrir;480208;kk;elri;ÞFET,ÞGFET
elrir;480208;kk;elrir;NFET
endir;4408;kk;endum;ÞGFFT
endir;4408;kk;endar;NFFT
endir;4408;kk;endi;ÞFET,ÞGFET
endir;4408;kk;endir;NFET
endir;4408;kk;endis;EFET
endir;4408;kk;enda;ÞFFT,EFFT
eyrir;4736;kk;aurar;NFFT
eyrir;4736;kk;eyri;ÞFET,ÞGFET
eyrir;4736;kk;eyrir;NFET
eyrir;4736;kk;eyris;EFET
eyrir;4736;kk;aura;ÞFFT,EFFT
eyrir;4736;kk;aurum;ÞGFFT
feill;4755;kk;feilar;NFFT
feill;4755;kk;feila;ÞFFT,EFFT
feill;4755;kk;feil;ÞFET,ÞGFET
feill;4755;kk;feill;NFET
feill;4755;kk;feils;EFET
feill;4755;kk;feilum;ÞGFFT
festir;4411;kk;festar;NFFT
festir;4411;kk;festa;ÞFFT,EFFT
festir;4411;kk;festum;ÞGFFT
festir;4411;kk;festis;EFET
festir;4411;kk;festir;NFET
festir;4411;kk;festi;ÞFET,ÞGFET
fíll;4761;kk;fíls;EFET
fíll;4761;kk;fíl;ÞFET,ÞGFET
fíll;4761;kk;fíla;ÞFFT,EFFT
fíll;4761;kk;fílar;NFFT
fíll;4761;kk;fílum;ÞGFFT
fíll;4761;kk;fíll;NFET
fleygur;5828;kk;fleyg;ÞFET,ÞGFET
fleygur;5828;kk;fleyga;ÞFFT,EFFT
fleygur;5828;kk;fleygar;NFFT
fleygur;5828;kk;fleygs;EFET
fleygur;5828;kk;fleygum;ÞGFFT
fleygur;5828;kk;fleygur;NFET
frystir;4413;kk;frysta;ÞFFT,EFFT
frystir;4413;kk;frystum;ÞGFFT
frystir;4413;kk;frystis;EFET
frystir;4413;kk;frystir;NFET
frystir;4413;kk;frysti;ÞFET,ÞGFET
frystir;4413;kk;frystar;NFFT
fýll;4763;kk;fýl;ÞFET,ÞGFET
fýll;4763;kk;fýlar;NFFT
fýll;4763;kk;fýll;NFET
fýll;4763;kk;fýls;EFET
fýll;4763;kk;fýlum;ÞGFFT
fýll;4763;kk;fýla;ÞFFT,EFFT
fylkir;4738;kk;fylki;ÞFET,ÞGFET
fylkir;4738;kk;fylkis;EFET
fylkir;4738;kk;fylkja;ÞFFT,EFFT
fylkir;4738;kk;fylkjar;NFFT
fylkir;4738;kk;fylkjum;ÞGFFT
fylkir;4738;kk;fylkir;NFET
geymir;4418;kk;geymi;ÞFET,ÞGFET
geymir;4418;kk;geymir;NFET
geymir;4418;kk;geymum;ÞGFFT
geymir;4418;kk;geymis;EFET
geymir;4418;kk;geymar;NFFT
geymir;4418;kk;geyma;ÞFFT,EFFT
gígur;6862;kk;gígum;ÞGFFT
gígur;6862;kk;gíg;ÞFET,ÞGFET
gígur;6862;kk;gíga;ÞFFT,EFFT
gígur;6862;kk;gígar;NFFT
gígur;6862;kk;gígs;EFET
gígur;6862;kk;gígur;NFET
gíll;4764;kk;gílum;ÞGFFT
gíll;4764;kk;gílar;NFFT
gíll;4764;kk;gíls;EFET
gíll;4764;kk;gíl;ÞFET,ÞGFET
gíll;4764;kk;gíla;ÞFFT,EFFT
gíll;4764;kk;gíll;NFET
glópur;5909;kk;glópum;ÞGFFT
glópur;5909;kk;glóps;EFET
glópur;5909;kk;glóp;ÞFET,ÞGFET
