ord;audk;ordfl;beyg;mark
aspas;4349;kk;aspösum;ÞGFFT
aspas;4349;kk;aspasar;NFFT
aspas;4349;kk;aspasa;ÞFFT,EFFT
aspas;4349;kk;aspas;NFET,ÞFET,ÞGFET,EFET
blús;488352;kk;blúsar;NFFT
blús;488352;kk;blús;NFET,ÞFET,ÞGFET,EFET
blús;488352;kk;blúsa;ÞFFT,EFFT
blús;488352;kk;blúsum;ÞGFFT
dúx;4334;kk;dúxum;ÞGFFT
dúx;4334;kk;dúxar;NFFT
dúx;4334;kk;dúxa;ÞFFT,EFFT
dúx;4334;kk;dúx;NFET,ÞFET,ÞGFET,EFET
fans;243133;kk;fönsum;ÞGFFT
fans;243133;kk;fansar;NFFT
fans;243133;kk;fansa;ÞFFT,EFFT
fans;243133;kk;fans;NFET,ÞFET,ÞGFET,EFET
fúx;4335;kk;fúx;NFET,ÞFET,ÞGFET,EFET
fúx;4335;kk;fúxa;ÞFFT,EFFT
fúx;4335;kk;fúxar;NFFT
fúx;4335;kk;fúxum;ÞGFFT
fönix;484282;kk;fönixum;ÞGFFT
fönix;484282;kk;fönix;NFET,ÞFET,ÞGFET,EFET
fönix;484282;kk;fönixa;ÞFFT,EFFT
fönix;484282;kk;fönixar;NFFT
harpix;484283;kk;harpixum;ÞGFFT
harpix;484283;kk;harpixar;NFFT
harpix;484283;kk;harpix;NFET,ÞFET,ÞGFET,EFET
harpix;484283;kk;harpixa;ÞFFT,EFFT
komplex;4344;kk;komplex;NFET,ÞFET,ÞGFET,EFET
komplex;4344;kk;komplexum;ÞGFFT
komplex;4344;kk;komplexar;NFFT
komplex;4344;kk;komplexa;ÞFFT,EFFT
lóðs;4336;kk;lóðsa;ÞFFT,EFFT
lóðs;4336;kk;lóðs;NFET,ÞFET,ÞGFET,EFET
lóðs;4336;kk;lóðsum;ÞGFFT
lóðs;4336;kk;lóðsar;NFFT
lóss;4337;kk;lóss;NFET,ÞFET,ÞGFET,EFET
lóss;4337;kk;lóssa;ÞFFT,EFFT
lóss;4337;kk;lóssar;NFFT
lóss;4337;kk;lóssum;ÞGFFT
marens;484298;kk;marensum;ÞGFFT
marens;484298;kk;marensar;NFFT
marens;484298;kk;marensa;ÞFFT,EFFT
marens;484298;kk;marens;NFET,ÞFET,ÞGFET,EFET
mars;4347;kk;mörsum;ÞGFFT
mars;4347;kk;mars;NFET,ÞFET,ÞGFET,EFET
mars;4347;kk;marsa;ÞFFT,EFFT
mars;4347;kk;marsar;NFFT
ópus;488715;kk;ópus;NFET,ÞFET,ÞGFET,EFET
ópus;488715;kk;ópusum;ÞGFFT
ópus;488715;kk;ópusa;ÞFFT,EFFT
ópus;488715;kk;ópusar;NFFT
papýrus;488353;kk;papýrusum;ÞGFFT
papýrus;488353;kk;papýrusar;NFFT
papýrus;488353;kk;papýrusa;ÞFFT,EFFT
papýrus;488353;kk;papýrus;NFET,ÞFET,ÞGFET,EFET
pels;4343;kk;pels;NFET,ÞFET,ÞGFET,EFET
pels;4343;kk;pelsa;ÞFFT,EFFT
pels;4343;kk;pelsar;NFFT
pels;4343;kk;pelsum;ÞGFFT
sans;4346;kk;sans;NFET,ÞFET,ÞGFET,EFET
sans;4346;kk;sansa;ÞFFT,EFFT
sans;4346;kk;sansar;NFFT
sans;4346;kk;sönsum;ÞGFFT
séns;4331;kk;sénsar;NFFT
séns;4331;kk;sénsum;ÞGFFT
séns;4331;kk;sénsa;ÞFFT,EFFT
séns;4331;kk;séns;NFET,ÞFET,ÞGFET,EFET
sjans;4345;kk;sjansa;ÞFFT,EFFT
sjans;4345;kk;sjönsum;ÞGFFT
sjans;4345;kk;sjansar;NFFT
sjans;4345;kk;sjans;NFET,ÞFET,ÞGFET,EFET
sjúss;243127;kk;sjússar;NFFT
sjúss;243127;kk;sjússa;ÞFFT,EFFT
sjúss;243127;kk;sjússum;ÞGFFT
sjúss;243127;kk;sjúss;NFET,ÞFET,ÞGFET,EFET
snafs;4329;kk;snafsa;ÞFFT,EFFT
snafs;4329;kk;snafsar;NFFT
snafs;4329;kk;snöfsum;ÞGFFT
snafs;4329;kk;snafs;NFET,ÞFET,ÞGFET,EFET
spíss;4351;kk;spíssum;ÞGFFT
spíss;4351;kk;spíssar;NFFT
spíss;4351;kk;spíssa;ÞFFT,EFFT
spíss;4351;kk;spíss;NFET,ÞFET,ÞGFET,EFET
stillans;480095;kk;stillansar;NFFT
stillans;480095;kk;stillans;NFET,ÞFET,ÞGFET,EFET
stillans;480095;kk;stillansa;ÞFFT,EFFT
stillans;480095;kk;stillönsum;ÞGFFT
sviss;243128;kk;sviss;NFET,ÞFET,ÞGFET,EFET
sviss;243128;kk;svissa;ÞFFT,EFFT
sviss;243128;kk;svissar;NFFT
sviss;243128;kk;svissum;ÞGFFT
tangens;4339;kk;tangens;NFET,ÞFET,ÞGFET,EFET
tangens;4339;kk;tangensa;ÞFFT,EFFT
tangens;4339;kk;tangensum;ÞGFFT
tangens;4339;kk;tangensar;NFFT
tendens;486510;kk;tendens;NFET,ÞFET,ÞGFET,EFET
tendens;486510;kk;tendensa;ÞFFT,EFFT
tendens;486510;kk;tendensar;NFFT
tendens;486510;kk;tendensum;ÞGFFT
þurs;4340;kk;þursa;ÞFFT,EFFT
þurs;4340;kk;þursum;ÞGFFT
þurs;4340;kk;þursar;NFFT
þurs;4340;kk;þurs;NFET,ÞFET,ÞGFET,EFET
