ord;audk;ordfl;beyg;mark
Alex;353751;kk;Alex;NFET,ÞFET,ÞGFET,EFET
apríl;5148;kk;apríl;NFET,ÞFET,ÞGFET,EFET
ágúst;5152;kk;ágúst;NFET,ÞFET,ÞGFET,EFET
bronkítis;471182;kk;bronkítis;NFET,ÞFET,ÞGFET,EFET
Búdda;488925;kk;Búdda;NFET,ÞFET,ÞGFET,EFET
desember;5156;kk;desember;NFET,ÞFET,ÞGFET,EFET
djass;479280;kk;djass;NFET,ÞFET,ÞGFET,EFET
Esra;354037;kk;Esra;NFET,ÞFET,ÞGFET,EFET
febrúar;5147;kk;febrúar;NFET,ÞFET,ÞGFET,EFET
Felix;354051;kk;Felix;NFET,ÞFET,ÞGFET,EFET
Frans;354082;kk;Frans;NFET,ÞFET,ÞGFET,EFET
frómas;559833;kk;frómas;NFET,ÞFET,ÞGFET,EFET
Gils;354125;kk;Gils;NFET,ÞFET,ÞGFET,EFET
glans;488512;kk;glans;NFET,ÞFET,ÞGFET,EFET
Hans;354188;kk;Hans;NFET,ÞFET,ÞGFET,EFET
janúar;5146;kk;janúar;NFET,ÞFET,ÞGFET,EFET
jass;4330;kk;jass;NFET,ÞFET,ÞGFET,EFET
Jens;354356;kk;Jens;NFET,ÞFET,ÞGFET,EFET
Jes;354358;kk;Jes;NFET,ÞFET,ÞGFET,EFET
júlí;5151;kk;júlí;NFET,ÞFET,ÞGFET,EFET
júní;5150;kk;júní;NFET,ÞFET,ÞGFET,EFET
Kennó;486497;kk;Kennó;NFET,ÞFET,ÞGFET,EFET
Klemens;354456;kk;Klemens;NFET,ÞFET,ÞGFET,EFET
kókos;480099;kk;kókos;NFET,ÞFET,ÞGFET,EFET
Lars;354494;kk;Lars;NFET,ÞFET,ÞGFET,EFET
maí;5149;kk;maí;NFET,ÞFET,ÞGFET,EFET
Mars;494917;kk;Mars;NFET,ÞFET,ÞGFET,EFET
menntó;559733;kk;menntó;NFET,ÞFET,ÞGFET,EFET
Móses;476109;kk;Móses;NFET,ÞFET,ÞGFET,EFET
Nils;354636;kk;Nils;NFET,ÞFET,ÞGFET,EFET
Níels;354639;kk;Níels;NFET,ÞFET,ÞGFET,EFET
nóvember;5155;kk;nóvember;NFET,ÞFET,ÞGFET,EFET
Október;354659;kk;Október;NFET,ÞFET,ÞGFET,EFET
október;5154;kk;október;NFET,ÞFET,ÞGFET,EFET
selsíus;541316;kk;selsíus;NFET,ÞFET,ÞGFET,EFET
september;5153;kk;september;NFET,ÞFET,ÞGFET,EFET
sýfilis;484845;kk;sýfilis;NFET,ÞFET,ÞGFET,EFET
tennis;488356;kk;tennis;NFET,ÞFET,ÞGFET,EFET
Versló;486496;kk;Versló;NFET,ÞFET,ÞGFET,EFET
