ord;audk;ordfl;beyg;mark
höfundur;5643;kk;höfundum;ÞGFFT
höfundur;5643;kk;höfundi;ÞGFET
höfundur;5643;kk;höfundar;EFET,NFFT
höfundur;5643;kk;höfunda;ÞFFT,EFFT
höfundur;5643;kk;höfund;ÞFET
höfundur;5643;kk;höfundur;NFET
skógur;5644;kk;skóga;ÞFFT,EFFT
skógur;5644;kk;skóg;ÞFET
skógur;5644;kk;skógi;ÞGFET
skógur;5644;kk;skógar;EFET,NFFT
skógur;5644;kk;skógur;NFET
skógur;5644;kk;skógum;ÞGFFT
þvottur;313905;kk;þvotti;ÞGFET
þvottur;313905;kk;þvottur;NFET
þvottur;313905;kk;þvottum;ÞGFFT
þvottur;313905;kk;þvottar;EFET,NFFT
þvottur;313905;kk;þvotta;ÞFFT,EFFT
þvottur;313905;kk;þvott;ÞFET
