ord;audk;ordfl;beyg;mark
björn;4381;kk;bjarnar;EFET
björn;4381;kk;björn;NFET,ÞFET
björn;4381;kk;bjarna;EFFT
björn;4381;kk;birnir;NFFT
björn;4381;kk;birni;ÞGFET,ÞFFT
björn;4381;kk;björnum;ÞGFFT
guð;5633;kk;guðir;NFFT
guð;5633;kk;guði;ÞGFET,ÞFFT
guð;5633;kk;guðs;EFET
guð;5633;kk;guða;EFFT
guð;5633;kk;guðum;ÞGFFT
guð;5633;kk;guð;NFET,ÞFET
knörr;4383;kk;knerrir;NFFT
knörr;4383;kk;knörrum;ÞGFFT
knörr;4383;kk;knörr;NFET,ÞFET
knörr;4383;kk;knarra;EFFT
knörr;4383;kk;knarrar;EFET
knörr;4383;kk;knerri;ÞGFET,ÞFFT
örn;4382;kk;örnum;ÞGFFT
örn;4382;kk;ernir;NFFT
örn;4382;kk;erni;ÞGFET,ÞFFT
örn;4382;kk;örn;NFET,ÞFET
örn;4382;kk;arnar;EFET
örn;4382;kk;arna;EFFT
