ord;audk;ordfl;beyg;mark
lestur;5735;kk;lestra;ÞFFT,EFFT
lestur;5735;kk;lestur;NFET,ÞFET
lestur;5735;kk;lestrum;ÞGFFT
lestur;5735;kk;lestri;ÞGFET
lestur;5735;kk;lestrar;EFET,NFFT
messías;484842;kk;messías;NFET,ÞFET
messías;484842;kk;messíösum;ÞGFFT
messías;484842;kk;messíasi;ÞGFET
messías;484842;kk;messíasar;EFET,NFFT
messías;484842;kk;messíasa;ÞFFT,EFFT
rekstur;5736;kk;rekstra;ÞFFT,EFFT
rekstur;5736;kk;rekstrar;EFET,NFFT
rekstur;5736;kk;rekstri;ÞGFET
rekstur;5736;kk;rekstrum;ÞGFFT
rekstur;5736;kk;rekstur;NFET,ÞFET
róður;5737;kk;róðra;ÞFFT,EFFT
róður;5737;kk;róðrar;EFET,NFFT
róður;5737;kk;róðri;ÞGFET
róður;5737;kk;róðrum;ÞGFFT
róður;5737;kk;róður;NFET,ÞFET
