ord;audk;ordfl;beyg;mark
ás;404032;kk;ás;NFET,ÞFET,ÞGFET
ás;404032;kk;æsi;ÞFFT
ás;404032;kk;ásum;ÞGFFT
ás;404032;kk;áss;EFET
ás;404032;kk;æsir;NFFT
ás;404032;kk;ása;EFFT
bar;5628;kk;bari;ÞFFT
bar;5628;kk;börum;ÞGFFT
bar;5628;kk;bar;NFET,ÞFET,ÞGFET
bar;5628;kk;bara;EFFT
bar;5628;kk;barir;NFFT
bar;5628;kk;bars;EFET
bur;476007;kk;burs;EFET
bur;476007;kk;bura;EFFT
bur;476007;kk;bur;NFET,ÞFET,ÞGFET
bur;476007;kk;buru;ÞFFT
bur;476007;kk;burir;NFFT
bur;476007;kk;burum;ÞGFFT
byr;4742;kk;byr;NFET,ÞFET,ÞGFET
byr;4742;kk;byri;ÞFFT
byr;4742;kk;byrja;EFFT
byr;4742;kk;byrjar;EFET
byr;4742;kk;byrjum;ÞGFFT
byr;4742;kk;byrir;NFFT
grís;5631;kk;grísum;ÞGFFT
grís;5631;kk;gríss;EFET
grís;5631;kk;grísi;ÞFFT
grís;5631;kk;grísa;EFFT
grís;5631;kk;grís;NFET,ÞFET,ÞGFET
grís;5631;kk;grísir;NFFT
her;5630;kk;her;NFET,ÞFET,ÞGFET
her;5630;kk;heri;ÞFFT
her;5630;kk;herir;NFFT
her;5630;kk;herja;EFFT
her;5630;kk;herjum;ÞGFFT
her;5630;kk;hers;EFET
hver;5632;kk;hvera;EFFT
hver;5632;kk;hver;NFET,ÞFET,ÞGFET
hver;5632;kk;hveri;ÞFFT
hver;5632;kk;hverum;ÞGFFT
hver;5632;kk;hverir;NFFT
hver;5632;kk;hvers;EFET
