ord;audk;ordfl;beyg;mark
Ástrali;486482;kk;Áströlum;ÞGFFT
Ástrali;486482;kk;Ástralir;NFFT
Ástrali;486482;kk;Ástrali;NFET,ÞFFT
Ástrali;486482;kk;Ástrala;ÞFET,ÞGFET,EFET,EFFT
Dani;486101;kk;Danir;NFFT
Dani;486101;kk;Dönum;ÞGFFT
Dani;486101;kk;Dani;NFET,ÞFFT
Dani;486101;kk;Dana;ÞFET,ÞGFET,EFET,EFFT
Germani;496708;kk;Germanir;NFFT
Germani;496708;kk;Germani;NFET,ÞFFT
Germani;496708;kk;Germönum;ÞGFFT
Germani;496708;kk;Germana;ÞFET,ÞGFET,EFET,EFFT
Grikki;486109;kk;Grikkir;NFFT
Grikki;486109;kk;Grikkja;ÞFET,ÞGFET,EFET,EFFT
Grikki;486109;kk;Grikki;NFET,ÞFFT
Grikki;486109;kk;Grikkjum;ÞGFFT
Írani;486113;kk;Írönum;ÞGFFT
Írani;486113;kk;Írana;ÞFET,ÞGFET,EFET,EFFT
Írani;486113;kk;Írani;NFET,ÞFFT
Írani;486113;kk;Íranir;NFFT
Ítali;486115;kk;Ítali;NFET,ÞFFT
Ítali;486115;kk;Ítölum;ÞGFFT
Ítali;486115;kk;Ítalir;NFFT
Ítali;486115;kk;Ítala;ÞFET,ÞGFET,EFET,EFFT
Japani;486116;kk;Japanir;NFFT
Japani;486116;kk;Japana;ÞFET,ÞGFET,EFET,EFFT
Japani;486116;kk;Japönum;ÞGFFT
Japani;486116;kk;Japani;NFET,ÞFFT
Jórdani;486117;kk;Jórdönum;ÞGFFT
Jórdani;486117;kk;Jórdanir;NFFT
Jórdani;486117;kk;Jórdani;NFET,ÞFFT
Jórdani;486117;kk;Jórdana;ÞFET,ÞGFET,EFET,EFFT
Tyrki;486148;kk;Tyrki;NFET,ÞFFT
Tyrki;486148;kk;Tyrkir;NFFT
Tyrki;486148;kk;Tyrkja;ÞFET,ÞGFET,EFET,EFFT
Tyrki;486148;kk;Tyrkjum;ÞGFFT
