ord;audk;ordfl;beyg;mark
Amsterdam;488080;kvk;Amsterdam;NFET,ÞFET,ÞGFET,EFET
Betlehem;487669;kvk;Betlehem;NFET,ÞFET,ÞGFET,EFET
bíræfni;131484;kvk;bíræfni;NFET,ÞFET,ÞGFET,EFET
blindni;11184;kvk;blindni;NFET,ÞFET,ÞGFET,EFET
breytni;11268;kvk;breytni;NFET,ÞFET,ÞGFET,EFET
bræði;11153;kvk;bræði;NFET,ÞFET,ÞGFET,EFET
Búdapest;486514;kvk;Búdapest;NFET,ÞFET,ÞGFET,EFET
Búkarest;487757;kvk;Búkarest;NFET,ÞFET,ÞGFET,EFET
Búrgúnd;488932;kvk;Búrgúnd;NFET,ÞFET,ÞGFET,EFET
Búrgúndí;488933;kvk;Búrgúndí;NFET,ÞFET,ÞGFET,EFET
drýldni;11314;kvk;drýldni;NFET,ÞFET,ÞGFET,EFET
drægni;486735;kvk;drægni;NFET,ÞFET,ÞGFET,EFET
elli;11172;kvk;elli;NFET,ÞFET,ÞGFET,EFET
ertni;11258;kvk;ertni;NFET,ÞFET,ÞGFET,EFET
eyðni;11197;kvk;eyðni;NFET,ÞFET,ÞGFET,EFET
feimni;11234;kvk;feimni;NFET,ÞFET,ÞGFET,EFET
feiti;11286;kvk;feiti;NFET,ÞFET,ÞGFET,EFET
fimi;11180;kvk;fimi;NFET,ÞFET,ÞGFET,EFET
Flórens;489088;kvk;Flórens;NFET,ÞFET,ÞGFET,EFET
freistni;11260;kvk;freistni;NFET,ÞFET,ÞGFET,EFET
fræði;385013;kvk;fræði;NFET,ÞFET,ÞGFET,EFET
fylgni;11211;kvk;fylgni;NFET,ÞFET,ÞGFET,EFET
fyndni;11185;kvk;fyndni;NFET,ÞFET,ÞGFET,EFET
fælni;11232;kvk;fælni;NFET,ÞFET,ÞGFET,EFET
færni;11245;kvk;færni;NFET,ÞFET,ÞGFET,EFET
girni;11321;kvk;girni;NFET,ÞFET,ÞGFET,EFET
glettni;11264;kvk;glettni;NFET,ÞFET,ÞGFET,EFET
gleypni;11243;kvk;gleypni;NFET,ÞFET,ÞGFET,EFET
gróandi;385205;kvk;gróandi;NFET,ÞFET,ÞGFET,EFET
græðgi;11156;kvk;græðgi;NFET,ÞFET,ÞGFET,EFET
gætni;11275;kvk;gætni;NFET,ÞFET,ÞGFET,EFET
göfgi;11157;kvk;göfgi;NFET,ÞFET,ÞGFET,EFET
heiðni;11189;kvk;heiðni;NFET,ÞFET,ÞGFET,EFET
Helsinki;489212;kvk;Helsinki;NFET,ÞFET,ÞGFET,EFET
helti;11288;kvk;helti;NFET,ÞFET,ÞGFET,EFET
hendi;479567;kvk;hendi;NFET,ÞFET,ÞGFET,EFET
heppni;385437;kvk;heppni;NFET,ÞFET,ÞGFET,EFET
hittni;11265;kvk;hittni;NFET,ÞFET,ÞGFET,EFET
hlýðni;11198;kvk;hlýðni;NFET,ÞFET,ÞGFET,EFET
hnýsni;11251;kvk;hnýsni;NFET,ÞFET,ÞGFET,EFET
hnyttni;11266;kvk;hnyttni;NFET,ÞFET,ÞGFET,EFET
hreykni;491216;kvk;hreykni;NFET,ÞFET,ÞGFET,EFET
hreysti;11291;kvk;hreysti;NFET,ÞFET,ÞGFET,EFET
hrynjandi;385661;kvk;hrynjandi;NFET,ÞFET,ÞGFET,EFET
hræsni;11252;kvk;hræsni;NFET,ÞFET,ÞGFET,EFET
hylli;11176;kvk;hylli;NFET,ÞFET,ÞGFET,EFET
hyskni;11221;kvk;hyskni;NFET,ÞFET,ÞGFET,EFET
hæðni;11199;kvk;hæðni;NFET,ÞFET,ÞGFET,EFET
hæfni;11207;kvk;hæfni;NFET,ÞFET,ÞGFET,EFET
hæsi;11284;kvk;hæsi;NFET,ÞFET,ÞGFET,EFET
iðni;11188;kvk;iðni;NFET,ÞFET,ÞGFET,EFET
Jerúsalem;431386;kvk;Jerúsalem;NFET,ÞFET,ÞGFET,EFET
Kaíró;486500;kvk;Kaíró;NFET,ÞFET,ÞGFET,EFET
kelli;11334;kvk;kelli;NFET,ÞFET,ÞGFET,EFET
kerskni;11220;kvk;kerskni;NFET,ÞFET,ÞGFET,EFET
kímni;11236;kvk;kímni;NFET,ÞFET,ÞGFET,EFET
kleyfni;11206;kvk;kleyfni;NFET,ÞFET,ÞGFET,EFET
kristni;11263;kvk;kristni;NFET,ÞFET,ÞGFET,EFET
kurteisi;11282;kvk;kurteisi;NFET,ÞFET,ÞGFET,EFET
kveðandi;386020;kvk;kveðandi;NFET,ÞFET,ÞGFET,EFET
Kýpur;431459;kvk;Kýpur;NFET,ÞFET,ÞGFET,EFET
kynngi;11161;kvk;kynngi;NFET,ÞFET,ÞGFET,EFET
kæti;11295;kvk;kæti;NFET,ÞFET,ÞGFET,EFET
lagni;11208;kvk;lagni;NFET,ÞFET,ÞGFET,EFET
leiðni;11190;kvk;leiðni;NFET,ÞFET,ÞGFET,EFET
leikni;11213;kvk;leikni;NFET,ÞFET,ÞGFET,EFET
lempni;11241;kvk;lempni;NFET,ÞFET,ÞGFET,EFET
leti;11285;kvk;leti;NFET,ÞFET,ÞGFET,EFET
London;488082;kvk;London;NFET,ÞFET,ÞGFET,EFET
Madrid;547465;kvk;Madrid;NFET,ÞFET,ÞGFET,EFET
Madríd;488178;kvk;Madríd;NFET,ÞFET,ÞGFET,EFET
Marsibil;362426;kvk;Marsibil;NFET,ÞFET,ÞGFET,EFET
mildi;11145;kvk;mildi;NFET,ÞFET,ÞGFET,EFET
minnkandi;386355;kvk;minnkandi;NFET,ÞFET,ÞGFET,EFET
Mílanó;489452;kvk;Mílanó;NFET,ÞFET,ÞGFET,EFET
mæði;11152;kvk;mæði;NFET,ÞFET,ÞGFET,EFET
