ord;audk;ordfl;beyg;mark
beiðni;11119;kvk;beiðnir;NFFT,ÞFFT
beiðni;11119;kvk;beiðnum;ÞGFFT
beiðni;11119;kvk;beiðni;NFET,ÞFET,ÞGFET,EFET
beiðni;11119;kvk;beiðna;EFFT
fylli;190432;kvk;fylla;EFFT
fylli;190432;kvk;fyllum;ÞGFFT
fylli;190432;kvk;fyllir;NFFT,ÞFFT
fylli;190432;kvk;fylli;NFET,ÞFET,ÞGFET,EFET
gleði;11117;kvk;gleðir;NFFT,ÞFFT
gleði;11117;kvk;gleði;NFET,ÞFET,ÞGFET,EFET
gleði;11117;kvk;gleða;EFFT
gleði;11117;kvk;gleðum;ÞGFFT
helgi;190530;kvk;helga;EFFT
helgi;190530;kvk;helgar;NFFT,ÞFFT
helgi;190530;kvk;helgi;NFET,ÞFET,ÞGFET,EFET
helgi;190530;kvk;helgum;ÞGFFT
keppni;11121;kvk;keppnum;ÞGFFT
keppni;11121;kvk;keppnir;NFFT,ÞFFT
keppni;11121;kvk;keppna;EFFT
keppni;11121;kvk;keppni;NFET,ÞFET,ÞGFET,EFET
lafði;11364;kvk;löfðum;ÞGFFT
lafði;11364;kvk;lafða;EFFT
lafði;11364;kvk;lafði;NFET,ÞFET,ÞGFET,EFET
lafði;11364;kvk;lafðir;NFFT,ÞFFT
lygi;391130;kvk;lygi;NFET,ÞFET,ÞGFET,EFET
lygi;391130;kvk;lygar;NFFT,ÞFFT
lygi;391130;kvk;lyga;EFFT
lygi;391130;kvk;lygum;ÞGFFT
smíði;11302;kvk;smíði;NFET,ÞFET,ÞGFET,EFET
smíði;11302;kvk;smíðar;NFFT,ÞFFT
smíði;11302;kvk;smíða;EFFT
smíði;11302;kvk;smíðum;ÞGFFT
sýki;11122;kvk;sýkja;EFFT
sýki;11122;kvk;sýki;NFET,ÞFET,ÞGFET,EFET
sýki;11122;kvk;sýkir;NFFT,ÞFFT
sýki;11122;kvk;sýkjum;ÞGFFT
tíðni;464763;kvk;tíðni;NFET,ÞFET,ÞGFET,EFET
tíðni;464763;kvk;tíðnir;NFFT,ÞFFT
tíðni;464763;kvk;tíðna;EFFT
tíðni;464763;kvk;tíðnum;ÞGFFT
veiði;468018;kvk;veiða;EFFT
veiði;468018;kvk;veiði;NFET,ÞFET,ÞGFET,EFET
veiði;468018;kvk;veiðar;NFFT,ÞFFT
veiði;468018;kvk;veiðum;ÞGFFT
veiki;11118;kvk;veikir;NFFT,ÞFFT
veiki;11118;kvk;veikjum;ÞGFFT
veiki;11118;kvk;veikja;EFFT
veiki;11118;kvk;veiki;NFET,ÞFET,ÞGFET,EFET
ævi;11120;kvk;ævum;ÞGFFT
ævi;11120;kvk;ævi;NFET,ÞFET,ÞGFET,EFET
ævi;11120;kvk;æva;EFFT
ævi;11120;kvk;ævir;NFFT,ÞFFT
