ord;audk;ordfl;beyg;mark
aukning;11368;kvk;aukning;NFET
aukning;11368;kvk;aukninga;EFFT
aukning;11368;kvk;aukningar;EFET,NFFT,ÞFFT
aukning;11368;kvk;aukningu;ÞFET,ÞGFET
aukning;11368;kvk;aukningum;ÞGFFT
áning;11369;kvk;áningum;ÞGFFT
áning;11369;kvk;áning;NFET
áning;11369;kvk;áninga;EFFT
áning;11369;kvk;áningu;ÞFET,ÞGFET
áning;11369;kvk;áningar;EFET,NFFT,ÞFFT
beiting;11377;kvk;beiting;NFET
beiting;11377;kvk;beitinga;EFFT
beiting;11377;kvk;beitingar;EFET,NFFT,ÞFFT
beiting;11377;kvk;beitingu;ÞFET,ÞGFET
beiting;11377;kvk;beitingum;ÞGFFT
beitning;11378;kvk;beitningu;ÞFET,ÞGFET
beitning;11378;kvk;beitningar;EFET,NFFT,ÞFFT
beitning;11378;kvk;beitninga;EFFT
beitning;11378;kvk;beitningum;ÞGFFT
beitning;11378;kvk;beitning;NFET
bekking;11379;kvk;bekkingar;EFET,NFFT,ÞFFT
bekking;11379;kvk;bekking;NFET
bekking;11379;kvk;bekkinga;EFFT
bekking;11379;kvk;bekkingu;ÞFET,ÞGFET
bekking;11379;kvk;bekkingum;ÞGFFT
bending;11381;kvk;bendingu;ÞFET,ÞGFET
bending;11381;kvk;bendinga;EFFT
bending;11381;kvk;bendingar;EFET,NFFT,ÞFFT
bending;11381;kvk;bendingum;ÞGFFT
bending;11381;kvk;bending;NFET
beyging;11383;kvk;beygingum;ÞGFFT
beyging;11383;kvk;beygingu;ÞFET,ÞGFET
beyging;11383;kvk;beygingar;EFET,NFFT,ÞFFT
beyging;11383;kvk;beyginga;EFFT
beyging;11383;kvk;beyging;NFET
binding;11385;kvk;binding;NFET
binding;11385;kvk;bindinga;EFFT
binding;11385;kvk;bindingar;EFET,NFFT,ÞFFT
binding;11385;kvk;bindingu;ÞFET,ÞGFET
binding;11385;kvk;bindingum;ÞGFFT
birting;11389;kvk;birtinga;EFFT
birting;11389;kvk;birtingu;ÞFET,ÞGFET
birting;11389;kvk;birtingum;ÞGFFT
birting;11389;kvk;birting;NFET
birting;11389;kvk;birtingar;EFET,NFFT,ÞFFT
blekking;11392;kvk;blekking;NFET
blekking;11392;kvk;blekkinga;EFFT
blekking;11392;kvk;blekkingar;EFET,NFFT,ÞFFT
blekking;11392;kvk;blekkingu;ÞFET,ÞGFET
blekking;11392;kvk;blekkingum;ÞGFFT
blæðing;11396;kvk;blæðingar;EFET,NFFT,ÞFFT
blæðing;11396;kvk;blæðinga;EFFT
blæðing;11396;kvk;blæðing;NFET
blæðing;11396;kvk;blæðingum;ÞGFFT
blæðing;11396;kvk;blæðingu;ÞFET,ÞGFET
breyting;11402;kvk;breytingum;ÞGFFT
breyting;11402;kvk;breytingar;EFET,NFFT,ÞFFT
breyting;11402;kvk;breytinga;EFFT
breyting;11402;kvk;breyting;NFET
breyting;11402;kvk;breytingu;ÞFET,ÞGFET
brýning;11411;kvk;brýninga;EFFT
brýning;11411;kvk;brýningum;ÞGFFT
brýning;11411;kvk;brýning;NFET
brýning;11411;kvk;brýningu;ÞFET,ÞGFET
brýning;11411;kvk;brýningar;EFET,NFFT,ÞFFT
brydding;11409;kvk;bryddingu;ÞFET,ÞGFET
brydding;11409;kvk;bryddingar;EFET,NFFT,ÞFFT
brydding;11409;kvk;bryddinga;EFFT
brydding;11409;kvk;brydding;NFET
brydding;11409;kvk;bryddingum;ÞGFFT
brynning;11410;kvk;brynningar;EFET,NFFT,ÞFFT
brynning;11410;kvk;brynningu;ÞFET,ÞGFET
brynning;11410;kvk;brynningum;ÞGFFT
brynning;11410;kvk;brynninga;EFFT
brynning;11410;kvk;brynning;NFET
bygging;11415;kvk;byggingum;ÞGFFT
bygging;11415;kvk;byggingu;ÞFET,ÞGFET
bygging;11415;kvk;byggingar;EFET,NFFT,ÞFFT
bygging;11415;kvk;bygginga;EFFT
bygging;11415;kvk;bygging;NFET
bylting;11416;kvk;bylting;NFET
bylting;11416;kvk;byltingar;EFET,NFFT,ÞFFT
bylting;11416;kvk;byltingu;ÞFET,ÞGFET
bylting;11416;kvk;byltingum;ÞGFFT
bylting;11416;kvk;byltinga;EFFT
bæling;11421;kvk;bæling;NFET
bæling;11421;kvk;bælinga;EFFT
bæling;11421;kvk;bælingar;EFET,NFFT,ÞFFT
bæling;11421;kvk;bælingu;ÞFET,ÞGFET
bæling;11421;kvk;bælingum;ÞGFFT
bæting;11425;kvk;bæting;NFET
bæting;11425;kvk;bætinga;EFFT
bæting;11425;kvk;bætingar;EFET,NFFT,ÞFFT
bæting;11425;kvk;bætingu;ÞFET,ÞGFET
bæting;11425;kvk;bætingum;ÞGFFT
deiling;11428;kvk;deilingum;ÞGFFT
deiling;11428;kvk;deilingu;ÞFET,ÞGFET
deiling;11428;kvk;deilingar;EFET,NFFT,ÞFFT
deiling;11428;kvk;deilinga;EFFT
deiling;11428;kvk;deiling;NFET
deyfing;11432;kvk;deyfingum;ÞGFFT
deyfing;11432;kvk;deyfingu;ÞFET,ÞGFET
deyfing;11432;kvk;deyfingar;EFET,NFFT,ÞFFT
deyfing;11432;kvk;deyfing;NFET
deyfing;11432;kvk;deyfinga;EFFT
dreifing;11433;kvk;dreifing;NFET
dreifing;11433;kvk;dreifingar;EFET,NFFT,ÞFFT
dreifing;11433;kvk;dreifinga;EFFT
dreifing;11433;kvk;dreifingum;ÞGFFT
dreifing;11433;kvk;dreifingu;ÞFET,ÞGFET
drekking;11434;kvk;drekking;NFET
drekking;11434;kvk;drekkingum;ÞGFFT
drekking;11434;kvk;drekkingu;ÞFET,ÞGFET
drekking;11434;kvk;drekkingar;EFET,NFFT,ÞFFT
drekking;11434;kvk;drekkinga;EFFT
drottning;384609;kvk;drottning;NFET
drottning;384609;kvk;drottninga;EFFT
drottning;384609;kvk;drottningar;EFET,NFFT,ÞFFT
drottning;384609;kvk;drottningu;ÞFET,ÞGFET
drottning;384609;kvk;drottningum;ÞGFFT
dæling;11438;kvk;dælingum;ÞGFFT
dæling;11438;kvk;dælinga;EFFT
dæling;11438;kvk;dæling;NFET
dæling;11438;kvk;dælingar;EFET,NFFT,ÞFFT
dæling;11438;kvk;dælingu;ÞFET,ÞGFET
eiming;11445;kvk;eimingum;ÞGFFT
eiming;11445;kvk;eimingu;ÞFET,ÞGFET
eiming;11445;kvk;eiming;NFET
eiming;11445;kvk;eimingar;EFET,NFFT,ÞFFT
eiming;11445;kvk;eiminga;EFFT
eining;11446;kvk;eininga;EFFT
eining;11446;kvk;einingar;EFET,NFFT,ÞFFT
eining;11446;kvk;einingu;ÞFET,ÞGFET
eining;11446;kvk;einingum;ÞGFFT
eining;11446;kvk;eining;NFET
elding;11448;kvk;elding;NFET
elding;11448;kvk;eldinga;EFFT
elding;11448;kvk;eldingar;EFET,NFFT,ÞFFT
elding;11448;kvk;eldingum;ÞGFFT
elding;11448;kvk;eldingu;ÞFET,ÞGFET
elfting;11449;kvk;elftingum;ÞGFFT
elfting;11449;kvk;elftingu;ÞFET,ÞGFET
elfting;11449;kvk;elftingar;EFET,NFFT,ÞFFT
elfting;11449;kvk;elftinga;EFFT
elfting;11449;kvk;elfting;NFET
elfur;13752;kvk;elfur;NFET
elfur;13752;kvk;elfar;EFET,NFFT,ÞFFT
elfur;13752;kvk;elfum;ÞGFFT
elfur;13752;kvk;elfa;EFFT
elfur;13752;kvk;elfi;ÞFET,ÞGFET
ending;11452;kvk;ending;NFET
ending;11452;kvk;endinga;EFFT
ending;11452;kvk;endingar;EFET,NFFT,ÞFFT
ending;11452;kvk;endingu;ÞFET,ÞGFET
ending;11452;kvk;endingum;ÞGFFT
erting;11455;kvk;ertingar;EFET,NFFT,ÞFFT
erting;11455;kvk;ertingum;ÞGFFT
erting;11455;kvk;ertingu;ÞFET,ÞGFET
erting;11455;kvk;ertinga;EFFT
erting;11455;kvk;erting;NFET
eyðing;11457;kvk;eyðingu;ÞFET,ÞGFET
eyðing;11457;kvk;eyðingum;ÞGFFT
eyðing;11457;kvk;eyðingar;EFET,NFFT,ÞFFT
eyðing;11457;kvk;eyðinga;EFFT
eyðing;11457;kvk;eyðing;NFET
felling;11460;kvk;felling;NFET
felling;11460;kvk;fellingar;EFET,NFFT,ÞFFT
felling;11460;kvk;fellinga;EFFT
felling;11460;kvk;fellingum;ÞGFFT
felling;11460;kvk;fellingu;ÞFET,ÞGFET
ferming;11461;kvk;ferming;NFET
ferming;11461;kvk;ferminga;EFFT
ferming;11461;kvk;fermingum;ÞGFFT
ferming;11461;kvk;fermingar;EFET,NFFT,ÞFFT
ferming;11461;kvk;fermingu;ÞFET,ÞGFET
festing;11462;kvk;festing;NFET
festing;11462;kvk;festinga;EFFT
festing;11462;kvk;festingar;EFET,NFFT,ÞFFT
festing;11462;kvk;festingum;ÞGFFT
festing;11462;kvk;festingu;ÞFET,ÞGFET
flenging;11469;kvk;flengingu;ÞFET,ÞGFET
flenging;11469;kvk;flengingum;ÞGFFT
flenging;11469;kvk;flenging;NFET
flenging;11469;kvk;flenginga;EFFT
flenging;11469;kvk;flengingar;EFET,NFFT,ÞFFT
fleyting;11470;kvk;fleytinga;EFFT
fleyting;11470;kvk;fleytingar;EFET,NFFT,ÞFFT
fleyting;11470;kvk;fleytingu;ÞFET,ÞGFET
fleyting;11470;kvk;fleyting;NFET
fleyting;11470;kvk;fleytingum;ÞGFFT
fóðring;384933;kvk;fóðringum;ÞGFFT
fóðring;384933;kvk;fóðringar;EFET,NFFT,ÞFFT
fóðring;384933;kvk;fóðringa;EFFT
fóðring;384933;kvk;fóðring;NFET
fóðring;384933;kvk;fóðringu;ÞFET,ÞGFET
freisting;11477;kvk;freistingum;ÞGFFT
freisting;11477;kvk;freisting;NFET
freisting;11477;kvk;freistinga;EFFT
freisting;11477;kvk;freistingar;EFET,NFFT,ÞFFT
freisting;11477;kvk;freistingu;ÞFET,ÞGFET
fylking;11481;kvk;fylking;NFET
fylking;11481;kvk;fylkinga;EFFT
fylking;11481;kvk;fylkingar;EFET,NFFT,ÞFFT
fylking;11481;kvk;fylkingum;ÞGFFT
fylking;11481;kvk;fylkingu;ÞFET,ÞGFET
fylling;11482;kvk;fyllingum;ÞGFFT
fylling;11482;kvk;fyllingu;ÞFET,ÞGFET
fylling;11482;kvk;fyllingar;EFET,NFFT,ÞFFT
fylling;11482;kvk;fyllinga;EFFT
fylling;11482;kvk;fylling;NFET
fyrning;11484;kvk;fyrning;NFET
fyrning;11484;kvk;fyrninga;EFFT
fyrning;11484;kvk;fyrningar;EFET,NFFT,ÞFFT
fyrning;11484;kvk;fyrningu;ÞFET,ÞGFET
fyrning;11484;kvk;fyrningum;ÞGFFT
fæðing;11485;kvk;fæðing;NFET
fæðing;11485;kvk;fæðingu;ÞFET,ÞGFET
fæðing;11485;kvk;fæðingum;ÞGFFT
fæðing;11485;kvk;fæðingar;EFET,NFFT,ÞFFT
fæðing;11485;kvk;fæðinga;EFFT
gegning;11493;kvk;gegningar;EFET,NFFT,ÞFFT
gegning;11493;kvk;gegningu;ÞFET,ÞGFET
gegning;11493;kvk;gegning;NFET
gegning;11493;kvk;gegninga;EFFT
gegning;11493;kvk;gegningum;ÞGFFT
gelding;11494;kvk;gelding;NFET
gelding;11494;kvk;geldinga;EFFT
