ord;audk;ordfl;beyg;mark
Addý;361593;kvk;Addý;NFET,ÞFET,ÞGFET
Addý;361593;kvk;Addýjar;EFET
angan;12313;kvk;angan;NFET,ÞFET,ÞGFET
angan;12313;kvk;anganar;EFET
Anný;361662;kvk;Annýjar;EFET
Anný;361662;kvk;Anný;NFET,ÞFET,ÞGFET
antík;190170;kvk;antík;NFET,ÞFET,ÞGFET
antík;190170;kvk;antíkur;EFET
auðgun;12316;kvk;auðgun;NFET,ÞFET,ÞGFET
auðgun;12316;kvk;auðgunar;EFET
beislun;384327;kvk;beislun;NFET,ÞFET,ÞGFET
beislun;384327;kvk;beislunar;EFET
Benný;361726;kvk;Bennýjar;EFET
Benný;361726;kvk;Benný;NFET,ÞFET,ÞGFET
Berlín;484791;kvk;Berlínar;EFET
Berlín;484791;kvk;Berlín;NFET,ÞFET,ÞGFET
bestun;384338;kvk;bestunar;EFET
bestun;384338;kvk;bestun;NFET,ÞFET,ÞGFET
Bettý;361746;kvk;Bettý;NFET,ÞFET,ÞGFET
Bettý;361746;kvk;Bettýjar;EFET
biturð;10832;kvk;biturðar;EFET
biturð;10832;kvk;biturð;NFET,ÞFET,ÞGFET
Bíbí;361757;kvk;Bíbí;NFET,ÞFET,ÞGFET
Bíbí;361757;kvk;Bíbíar;EFET
Björgvin;431359;kvk;Björgvin;NFET,ÞFET,ÞGFET
Björgvin;431359;kvk;Björgvinjar;EFET
Björk;361766;kvk;Björk;NFET,ÞFET,ÞGFET
Björk;361766;kvk;Bjarkar;EFET
Björt;476791;kvk;Björt;NFET,ÞFET,ÞGFET
Björt;476791;kvk;Bjartar;EFET
blómgun;12356;kvk;blómgun;NFET,ÞFET,ÞGFET
blómgun;12356;kvk;blómgunar;EFET
blöndun;12362;kvk;blöndun;NFET,ÞFET,ÞGFET
blöndun;12362;kvk;blöndunar;EFET
bólstrun;384445;kvk;bólstrunar;EFET
bólstrun;384445;kvk;bólstrun;NFET,ÞFET,ÞGFET
bómull;10997;kvk;bómull;NFET,ÞFET,ÞGFET
bómull;10997;kvk;bómullar;EFET
Brá;361783;kvk;Brár;EFET
Brá;361783;kvk;Brá;NFET,ÞFET,ÞGFET
bráðnun;384459;kvk;bráðnunar;EFET
bráðnun;384459;kvk;bráðnun;NFET,ÞFET,ÞGFET
Brák;361784;kvk;Brákar;EFET
Brák;361784;kvk;Brák;NFET,ÞFET,ÞGFET
brenglun;12386;kvk;brenglun;NFET,ÞFET,ÞGFET
brenglun;12386;kvk;brenglunar;EFET
brjálun;384475;kvk;brjálun;NFET,ÞFET,ÞGFET
brjálun;384475;kvk;brjálunar;EFET
bruggun;384487;kvk;bruggunar;EFET
bruggun;384487;kvk;bruggun;NFET,ÞFET,ÞGFET
brúkun;384490;kvk;brúkunar;EFET
brúkun;384490;kvk;brúkun;NFET,ÞFET,ÞGFET
bæklun;384562;kvk;bæklun;NFET,ÞFET,ÞGFET
bæklun;384562;kvk;bæklunar;EFET
bökun;12423;kvk;bökunar;EFET
bökun;12423;kvk;bökun;NFET,ÞFET,ÞGFET
Dagmar;361815;kvk;Dagmar;NFET,ÞFET,ÞGFET
Dagmar;361815;kvk;Dagmarar;EFET
deildun;486490;kvk;deildunar;EFET
deildun;486490;kvk;deildun;NFET,ÞFET,ÞGFET
depurð;10833;kvk;depurðar;EFET
depurð;10833;kvk;depurð;NFET,ÞFET,ÞGFET
deyfð;10883;kvk;deyfð;NFET,ÞFET,ÞGFET
deyfð;10883;kvk;deyfðar;EFET
Diddú;488956;kvk;Diddúar;EFET
Diddú;488956;kvk;Diddú;NFET,ÞFET,ÞGFET
diffrun;384584;kvk;diffrun;NFET,ÞFET,ÞGFET
diffrun;384584;kvk;diffrunar;EFET
Diljá;361833;kvk;Diljá;NFET,ÞFET,ÞGFET
Diljá;361833;kvk;Diljár;EFET
dirfð;10884;kvk;dirfð;NFET,ÞFET,ÞGFET
dirfð;10884;kvk;dirfðar;EFET
Dídí;485411;kvk;Dídí;NFET,ÞFET,ÞGFET
Dídí;485411;kvk;Dídíar;EFET
Dís;361840;kvk;Dís;NFET,ÞFET,ÞGFET
Dís;361840;kvk;Dísar;EFET
djörfung;10284;kvk;djörfung;NFET,ÞFET,ÞGFET
djörfung;10284;kvk;djörfungar;EFET
dramatík;190285;kvk;dramatíkur;EFET
dramatík;190285;kvk;dramatík;NFET,ÞFET,ÞGFET
drottnun;384610;kvk;drottnun;NFET,ÞFET,ÞGFET
drottnun;384610;kvk;drottnunar;EFET
Dröfn;361854;kvk;Dröfn;NFET,ÞFET,ÞGFET
Dröfn;361854;kvk;Drafnar;EFET
dul;10886;kvk;dul;NFET,ÞFET,ÞGFET
dul;10886;kvk;dular;EFET
dýnamík;510888;kvk;dýnamíkur;EFET
dýnamík;510888;kvk;dýnamík;NFET,ÞFET,ÞGFET
dýrkun;384624;kvk;dýrkun;NFET,ÞFET,ÞGFET
dýrkun;384624;kvk;dýrkunar;EFET
Dyflinn;475967;kvk;Dyflinnar;EFET
Dyflinn;475967;kvk;Dyflinn;NFET,ÞFET,ÞGFET
Dyflinni;430275;kvk;Dyflinnar;EFET
Dyflinni;430275;kvk;Dyflinni;NFET,ÞFET,ÞGFET
döf;10356;kvk;dafar;EFET
döf;10356;kvk;döf;NFET,ÞFET,ÞGFET
dögun;12450;kvk;dögun;NFET,ÞFET,ÞGFET
dögun;12450;kvk;dögunar;EFET
döngun;12452;kvk;döngunar;EFET
döngun;12452;kvk;döngun;NFET,ÞFET,ÞGFET
eigind;11019;kvk;eigind;NFET,ÞFET,ÞGFET
eigind;11019;kvk;eigindar;EFET
einangrun;12463;kvk;einangrun;NFET,ÞFET,ÞGFET
einangrun;12463;kvk;einangrunar;EFET
einurð;10843;kvk;einurð;NFET,ÞFET,ÞGFET
einurð;10843;kvk;einurðar;EFET
eirð;10889;kvk;eirðar;EFET
eirð;10889;kvk;eirð;NFET,ÞFET,ÞGFET
eldun;384701;kvk;eldun;NFET,ÞFET,ÞGFET
eldun;384701;kvk;eldunar;EFET
Ellen;361916;kvk;Ellenar;EFET
Ellen;361916;kvk;Ellen;NFET,ÞFET,ÞGFET
Ellisif;361917;kvk;Ellisif;NFET,ÞFET,ÞGFET
Ellisif;361917;kvk;Ellisifjar;EFET
Ellý;361919;kvk;Ellýjar;EFET
Ellý;361919;kvk;Ellý;NFET,ÞFET,ÞGFET
epík;190324;kvk;epík;NFET,ÞFET,ÞGFET
epík;190324;kvk;epíkur;EFET
erótík;190326;kvk;erótíkur;EFET
erótík;190326;kvk;erótík;NFET,ÞFET,ÞGFET
Ester;361956;kvk;Ester;NFET,ÞFET,ÞGFET
Ester;361956;kvk;Esterar;EFET
Ey;361971;kvk;Ey;NFET,ÞFET,ÞGFET
Ey;361971;kvk;Eyjar;EFET
Eygló;361972;kvk;Eyglóar;EFET
Eygló;361972;kvk;Eygló;NFET,ÞFET,ÞGFET
Fanný;361983;kvk;Fanný;NFET,ÞFET,ÞGFET
Fanný;361983;kvk;Fannýjar;EFET
fart;10878;kvk;fartar;EFET
fart;10878;kvk;fart;NFET,ÞFET,ÞGFET
fágun;384774;kvk;fágunar;EFET
fágun;384774;kvk;fágun;NFET,ÞFET,ÞGFET
fegrun;384777;kvk;fegrun;NFET,ÞFET,ÞGFET
fegrun;384777;kvk;fegrunar;EFET
fegurð;10836;kvk;fegurð;NFET,ÞFET,ÞGFET
fegurð;10836;kvk;fegurðar;EFET
feigð;10891;kvk;feigð;NFET,ÞFET,ÞGFET
feigð;10891;kvk;feigðar;EFET
feikn;10892;kvk;feikn;NFET,ÞFET,ÞGFET
feikn;10892;kvk;feiknar;EFET
firð;10893;kvk;firðar;EFET
firð;10893;kvk;firð;NFET,ÞFET,ÞGFET
fiski;190347;kvk;fiski;NFET,ÞFET,ÞGFET
fiski;190347;kvk;fiskjar;EFET
fíkn;10979;kvk;fíknar;EFET
fíkn;10979;kvk;fíkn;NFET,ÞFET,ÞGFET
fjöðrun;384842;kvk;fjöðrunar;EFET
fjöðrun;384842;kvk;fjöðrun;NFET,ÞFET,ÞGFET
flökun;12498;kvk;flökunar;EFET
flökun;12498;kvk;flökun;NFET,ÞFET,ÞGFET
fóðrun;384936;kvk;fóðrunar;EFET
fóðrun;384936;kvk;fóðrun;NFET,ÞFET,ÞGFET
fragt;10797;kvk;fragt;NFET,ÞFET,ÞGFET
fragt;10797;kvk;fragtar;EFET
frelsun;384983;kvk;frelsunar;EFET
frelsun;384983;kvk;frelsun;NFET,ÞFET,ÞGFET
fremd;10896;kvk;fremd;NFET,ÞFET,ÞGFET
fremd;10896;kvk;fremdar;EFET
