ord;audk;ordfl;beyg;mark
brúður;13761;kvk;brúðir;NFFT,ÞFFT
brúður;13761;kvk;brúða;EFFT
brúður;13761;kvk;brúðar;EFET
brúður;13761;kvk;brúður;NFET
brúður;13761;kvk;brúðum;ÞGFFT
brúður;13761;kvk;brúði;ÞFET,ÞGFET
nauður;13764;kvk;nauðir;NFFT,ÞFFT
nauður;13764;kvk;nauði;ÞFET,ÞGFET
nauður;13764;kvk;nauðar;EFET
nauður;13764;kvk;nauða;EFFT
nauður;13764;kvk;nauðum;ÞGFFT
nauður;13764;kvk;nauður;NFET
unnur;13767;kvk;unna;EFFT
unnur;13767;kvk;unnar;EFET
unnur;13767;kvk;unnir;NFFT,ÞFFT
unnur;13767;kvk;unnur;NFET
unnur;13767;kvk;unni;ÞFET,ÞGFET
unnur;13767;kvk;unnum;ÞGFFT
vættur;13769;kvk;vætta;EFFT
vættur;13769;kvk;vættar;EFET
vættur;13769;kvk;vættir;NFFT,ÞFFT
vættur;13769;kvk;vætti;ÞFET,ÞGFET
vættur;13769;kvk;vættum;ÞGFFT
vættur;13769;kvk;vættur;NFET
