ord;audk;ordfl;beyg;mark
Abba;361585;kvk;Abba;NFET
Abba;361585;kvk;Öbbu;ÞFET,ÞGFET,EFET
aðventa;15692;kvk;aðventu;ÞFET,ÞGFET,EFET
aðventa;15692;kvk;aðventa;NFET
Afríka;431444;kvk;Afríka;NFET
Afríka;431444;kvk;Afríku;ÞFET,ÞGFET,EFET
Agga;361599;kvk;Agga;NFET
Agga;361599;kvk;Öggu;ÞFET,ÞGFET,EFET
Agla;361600;kvk;Agla;NFET
Agla;361600;kvk;Öglu;ÞFET,ÞGFET,EFET
Alba;361605;kvk;Ölbu;ÞFET,ÞGFET,EFET
Alba;361605;kvk;Alba;NFET
Albanía;431309;kvk;Albanía;NFET
Albanía;431309;kvk;Albaníu;ÞFET,ÞGFET,EFET
Alberta;361606;kvk;Alberta;NFET
Alberta;361606;kvk;Albertu;ÞFET,ÞGFET,EFET
Alda;361609;kvk;Alda;NFET
Alda;361609;kvk;Öldu;ÞFET,ÞGFET,EFET
Alexandra;361612;kvk;Alexöndru;ÞFET,ÞGFET,EFET
Alexandra;361612;kvk;Alexandra;NFET
Alexandría;361613;kvk;Alexandría;NFET
Alexandría;361613;kvk;Alexandríu;ÞFET,ÞGFET,EFET
Alexía;361615;kvk;Alexía;NFET
Alexía;361615;kvk;Alexíu;ÞFET,ÞGFET,EFET
Alfa;361617;kvk;Alfa;NFET
Alfa;361617;kvk;Ölfu;ÞFET,ÞGFET,EFET
Alla;361625;kvk;Öllu;ÞFET,ÞGFET,EFET
Alla;361625;kvk;Alla;NFET
Alma;361628;kvk;Alma;NFET
Alma;361628;kvk;Ölmu;ÞFET,ÞGFET,EFET
alvara;15520;kvk;alvöru;ÞFET,ÞGFET,EFET
alvara;15520;kvk;alvara;NFET
Amalía;361630;kvk;Amalíu;ÞFET,ÞGFET,EFET
Amalía;361630;kvk;Amalía;NFET
Amanda;361631;kvk;Amanda;NFET
Amanda;361631;kvk;Amöndu;ÞFET,ÞGFET,EFET
Ameríka;431445;kvk;Ameríka;NFET
Ameríka;431445;kvk;Ameríku;ÞFET,ÞGFET,EFET
Andalúsía;484613;kvk;Andalúsía;NFET
Andalúsía;484613;kvk;Andalúsíu;ÞFET,ÞGFET,EFET
Andra;361637;kvk;Öndru;ÞFET,ÞGFET,EFET
Andra;361637;kvk;Andra;NFET
Andrea;361638;kvk;Andrea;NFET
Andrea;361638;kvk;Andreu;ÞFET,ÞGFET,EFET
Aníta;361653;kvk;Aníta;NFET
Aníta;361653;kvk;Anítu;ÞFET,ÞGFET,EFET
Anja;361654;kvk;Anja;NFET
Anja;361654;kvk;Önju;ÞFET,ÞGFET,EFET
Anna;361656;kvk;Önnu;ÞFET,ÞGFET,EFET
Anna;361656;kvk;Anna;NFET
anorexía;464830;kvk;anorexía;NFET
anorexía;464830;kvk;anorexíu;ÞFET,ÞGFET,EFET
Antonía;361664;kvk;Antoníu;ÞFET,ÞGFET,EFET
Antonía;361664;kvk;Antonía;NFET
Arabía;431310;kvk;Arabía;NFET
Arabía;431310;kvk;Arabíu;ÞFET,ÞGFET,EFET
arabíska;15038;kvk;arabíska;NFET
arabíska;15038;kvk;arabísku;ÞFET,ÞGFET,EFET
Argentína;431520;kvk;Argentína;NFET
Argentína;431520;kvk;Argentínu;ÞFET,ÞGFET,EFET
Armenía;431311;kvk;Armenía;NFET
Armenía;431311;kvk;Armeníu;ÞFET,ÞGFET,EFET
armæða;146964;kvk;armæðu;ÞFET,ÞGFET,EFET
armæða;146964;kvk;armæða;NFET
Arna;361672;kvk;Arna;NFET
Arna;361672;kvk;Örnu;ÞFET,ÞGFET,EFET
Asía;431312;kvk;Asía;NFET
Asía;431312;kvk;Asíu;ÞFET,ÞGFET,EFET
aska;15495;kvk;ösku;ÞFET,ÞGFET,EFET
aska;15495;kvk;aska;NFET
Askja;291167;kvk;Öskju;ÞFET,ÞGFET,EFET
Askja;291167;kvk;Askja;NFET
Atla;361683;kvk;Ötlu;ÞFET,ÞGFET,EFET
Atla;361683;kvk;Atla;NFET
Aþena;361690;kvk;Aþenu;ÞFET,ÞGFET,EFET
Aþena;431513;kvk;Aþenu;ÞFET,ÞGFET,EFET
Aþena;431513;kvk;Aþena;NFET
Aþena;361690;kvk;Aþena;NFET
Ágústa;361691;kvk;Ágústu;ÞFET,ÞGFET,EFET
Ágústa;361691;kvk;Ágústa;NFET
árátta;15043;kvk;árátta;NFET
árátta;15043;kvk;áráttu;ÞFET,ÞGFET,EFET
Árelía;361694;kvk;Árelíu;ÞFET,ÞGFET,EFET
Árelía;361694;kvk;Árelía;NFET
Áróra;361703;kvk;Áróru;ÞFET,ÞGFET,EFET
Áróra;361703;kvk;Áróra;NFET
Ása;361704;kvk;Ásu;ÞFET,ÞGFET,EFET
Ása;361704;kvk;Ása;NFET
Ásta;361706;kvk;Ásta;NFET
Ásta;361706;kvk;Ástu;ÞFET,ÞGFET,EFET
Ástralía;431314;kvk;Ástralíu;ÞFET,ÞGFET,EFET
Ástralía;431314;kvk;Ástralía;NFET
áta;393358;kvk;átu;ÞFET,ÞGFET,EFET
áta;393358;kvk;áta;NFET
barátta;15044;kvk;barátta;NFET
barátta;15044;kvk;baráttu;ÞFET,ÞGFET,EFET
Barbara;361711;kvk;Barböru;ÞFET,ÞGFET,EFET
Barbara;361711;kvk;Barbara;NFET
baskneska;490074;kvk;baskneska;NFET
