ord;audk;ordfl;beyg;mark
annir;10871;kvk;annir;NFFT,ÞFFT
annir;10871;kvk;anna;EFFT
annir;10871;kvk;önnum;ÞGFFT
aumur;15699;kvk;auma;EFFT
aumur;15699;kvk;aumum;ÞGFFT
aumur;15699;kvk;aumur;NFFT,ÞFFT
áfir;10853;kvk;áfa;EFFT
áfir;10853;kvk;áfir;NFFT,ÞFFT
áfir;10853;kvk;áfum;ÞGFFT
birgðir;10848;kvk;birgðum;ÞGFFT
birgðir;10848;kvk;birgðir;NFFT,ÞFFT
birgðir;10848;kvk;birgða;EFFT
brigður;403703;kvk;brigða;EFFT
brigður;403703;kvk;brigðum;ÞGFFT
brigður;403703;kvk;brigður;NFFT,ÞFFT
brösur;477281;kvk;brösur;NFFT,ÞFFT
brösur;477281;kvk;brösum;ÞGFFT
brösur;477281;kvk;brasa;EFFT
buxur;393363;kvk;buxna;EFFT
buxur;393363;kvk;buxum;ÞGFFT
buxur;393363;kvk;buxur;NFFT,ÞFFT
börur;393364;kvk;börum;ÞGFFT
börur;393364;kvk;bara;EFFT
börur;393364;kvk;börur;NFFT,ÞFFT
dýfingar;12236;kvk;dýfinga;EFFT
dýfingar;12236;kvk;dýfingar;NFFT,ÞFFT
dýfingar;12236;kvk;dýfingum;ÞGFFT
dyr;11107;kvk;dyra;EFFT
dyr;11107;kvk;dyr;NFFT,ÞFFT
dyr;11107;kvk;dyrum;ÞGFFT
engjar;10257;kvk;engjar;NFFT,ÞFFT
engjar;10257;kvk;engja;EFFT
engjar;10257;kvk;engjum;ÞGFFT
flimtingar;477285;kvk;flimtinga;EFFT
flimtingar;477285;kvk;flimtingar;NFFT,ÞFFT
flimtingar;477285;kvk;flimtingum;ÞGFFT
Flúðir;285134;kvk;Flúða;EFFT
Flúðir;285134;kvk;Flúðum;ÞGFFT
Flúðir;285134;kvk;Flúðir;NFFT,ÞFFT
grátur;466151;kvk;grátum;ÞGFFT
grátur;466151;kvk;grátur;NFFT,ÞFFT
grátur;466151;kvk;grátna;EFFT
gæftir;10860;kvk;gæftum;ÞGFFT
gæftir;10860;kvk;gæftir;NFFT,ÞFFT
gæftir;10860;kvk;gæfta;EFFT
gætur;393373;kvk;gætna;EFFT
gætur;393373;kvk;gætum;ÞGFFT
gætur;393373;kvk;gætur;NFFT,ÞFFT
Hafnir;285188;kvk;Hafna;EFFT
Hafnir;285188;kvk;Hafnir;NFFT,ÞFFT
Hafnir;285188;kvk;Höfnum;ÞGFFT
háttur;488736;kvk;háttur;NFFT,ÞFFT
háttur;488736;kvk;hátta;EFFT
háttur;488736;kvk;háttum;ÞGFFT
herðar;10244;kvk;herðum;ÞGFFT
herðar;10244;kvk;herða;EFFT
herðar;10244;kvk;herðar;NFFT,ÞFFT
herkjur;15697;kvk;herkjum;ÞGFFT
herkjur;15697;kvk;herkja;EFFT
herkjur;15697;kvk;herkjur;NFFT,ÞFFT
hlóðir;10851;kvk;hlóðum;ÞGFFT
hlóðir;10851;kvk;hlóðir;NFFT,ÞFFT
hlóðir;10851;kvk;hlóða;EFFT
hreðjar;10247;kvk;hreðjum;ÞGFFT
hreðjar;10247;kvk;hreðja;EFFT
hreðjar;10247;kvk;hreðjar;NFFT,ÞFFT
kenjar;10260;kvk;kenja;EFFT
kenjar;10260;kvk;kenjar;NFFT,ÞFFT
kenjar;10260;kvk;kenjum;ÞGFFT
kræsingar;12248;kvk;kræsinga;EFFT
kræsingar;12248;kvk;kræsingar;NFFT,ÞFFT
kræsingar;12248;kvk;kræsingum;ÞGFFT
kynjar;10263;kvk;kynja;EFFT
kynjar;10263;kvk;kynjar;NFFT,ÞFFT
kynjar;10263;kvk;kynjum;ÞGFFT
Laugar;285100;kvk;Laugum;ÞGFFT
Laugar;285100;kvk;Lauga;EFFT
Laugar;285100;kvk;Laugar;NFFT,ÞFFT
limar;10238;kvk;limar;NFFT,ÞFFT
limar;10238;kvk;limum;ÞGFFT
limar;10238;kvk;lima;EFFT
líkur;486671;kvk;líkum;ÞGFFT
líkur;486671;kvk;líkur;NFFT,ÞFFT
líkur;486671;kvk;líka;EFFT
lundir;10846;kvk;lundir;NFFT,ÞFFT
lundir;10846;kvk;lundum;ÞGFFT
lundir;10846;kvk;lunda;EFFT
Lundúnir;431394;kvk;Lundúnum;ÞGFFT
Lundúnir;431394;kvk;Lundúna;EFFT
Lundúnir;431394;kvk;Lundúnir;NFFT,ÞFFT
lyktir;551391;kvk;lykta;EFFT
lyktir;551391;kvk;lyktir;NFFT,ÞFFT
lyktir;551391;kvk;lyktum;ÞGFFT
Maldívur;559019;kvk;Maldívur;NFFT,ÞFFT
Maldívur;559019;kvk;Maldíva;EFFT
Maldívur;559019;kvk;Maldívum;ÞGFFT
malir;10868;kvk;mala;EFFT
malir;10868;kvk;mölum;ÞGFFT
malir;10868;kvk;malir;NFFT,ÞFFT
menjar;10261;kvk;menja;EFFT
menjar;10261;kvk;menjar;NFFT,ÞFFT
menjar;10261;kvk;menjum;ÞGFFT
minjar;10262;kvk;minja;EFFT
minjar;10262;kvk;minjar;NFFT,ÞFFT
