ord;audk;ordfl;beyg;mark
Agnes;361603;kvk;Agnesar;EFET
Agnes;361603;kvk;Agnes;NFET
Agnes;361603;kvk;Agnesi;ÞFET,ÞGFET
Auður;361686;kvk;Auði;ÞFET,ÞGFET
Auður;361686;kvk;Auðar;EFET
Auður;361686;kvk;Auður;NFET
baldering;384275;kvk;baldering;NFET
baldering;384275;kvk;balderingu;ÞFET,ÞGFET
baldering;384275;kvk;balderingar;EFET
baldýring;384276;kvk;baldýring;NFET
baldýring;384276;kvk;baldýringar;EFET
baldýring;384276;kvk;baldýringu;ÞFET,ÞGFET
Björg;361764;kvk;Bjargar;EFET
Björg;361764;kvk;Björgu;ÞFET,ÞGFET
Björg;361764;kvk;Björg;NFET
bleiking;11391;kvk;bleikingar;EFET
bleiking;11391;kvk;bleikingu;ÞFET,ÞGFET
bleiking;11391;kvk;bleiking;NFET
Blær;480195;kvk;Blævi;ÞFET,ÞGFET
Blær;480195;kvk;Blævar;EFET
Blær;480195;kvk;Blær;NFET
Bríet;361793;kvk;Bríeti;ÞFET,ÞGFET
Bríet;361793;kvk;Bríetar;EFET
Bríet;361793;kvk;Bríet;NFET
bródering;384482;kvk;bróderingu;ÞFET,ÞGFET
bródering;384482;kvk;bróderingar;EFET
bródering;384482;kvk;bródering;NFET
brugðning;384485;kvk;brugðningar;EFET
brugðning;384485;kvk;brugðning;NFET
brugðning;384485;kvk;brugðningu;ÞFET,ÞGFET
denging;11430;kvk;dengingar;EFET
denging;11430;kvk;dengingu;ÞFET,ÞGFET
denging;11430;kvk;denging;NFET
efling;11441;kvk;eflingu;ÞFET,ÞGFET
efling;11441;kvk;efling;NFET
efling;11441;kvk;eflingar;EFET
Elín;361907;kvk;Elínu;ÞFET,ÞGFET
Elín;361907;kvk;Elínar;EFET
Elín;361907;kvk;Elín;NFET
firring;384798;kvk;firringu;ÞFET,ÞGFET
firring;384798;kvk;firring;NFET
firring;384798;kvk;firringar;EFET
flatning;11468;kvk;flatningu;ÞFET,ÞGFET
flatning;11468;kvk;flatning;NFET
flatning;11468;kvk;flatningar;EFET
fláning;486337;kvk;fláningu;ÞFET,ÞGFET
fláning;486337;kvk;fláning;NFET
fláning;486337;kvk;fláningar;EFET
flýting;11474;kvk;flýtingu;ÞFET,ÞGFET
flýting;11474;kvk;flýtingar;EFET
flýting;11474;kvk;flýting;NFET
Fríður;362011;kvk;Fríðar;EFET
Fríður;362011;kvk;Fríði;ÞFET,ÞGFET
Fríður;362011;kvk;Fríður;NFET
frysting;11478;kvk;frystingu;ÞFET,ÞGFET
frysting;11478;kvk;frystingar;EFET
frysting;11478;kvk;frysting;NFET
fæling;385035;kvk;fæling;NFET
fæling;385035;kvk;fælingar;EFET
fæling;385035;kvk;fælingu;ÞFET,ÞGFET
galvanísering;385051;kvk;galvanísering;NFET
galvanísering;385051;kvk;galvaníseringar;EFET
