ord;audk;ordfl;beyg;mark
aða;14842;kvk;öðu;ÞFET,ÞGFET,EFET
aða;14842;kvk;aða;NFET,EFFT
aða;14842;kvk;öður;NFFT,ÞFFT
aða;14842;kvk;öðum;ÞGFFT
akademía;13780;kvk;akademía;NFET,EFFT
akademía;13780;kvk;akademíum;ÞGFFT
akademía;13780;kvk;akademíur;NFFT,ÞFFT
akademía;13780;kvk;akademíu;ÞFET,ÞGFET,EFET
alda;16067;kvk;öldum;ÞGFFT
alda;16067;kvk;alda;NFET,EFFT
alda;16067;kvk;öldu;ÞFET,ÞGFET,EFET
alda;16067;kvk;öldur;NFFT,ÞFFT
alfa;547496;kvk;ölfum;ÞGFFT
alfa;547496;kvk;ölfur;NFFT,ÞFFT
alfa;547496;kvk;alfa;NFET,EFFT
alfa;547496;kvk;ölfu;ÞFET,ÞGFET,EFET
algebra;15033;kvk;algebra;NFET,EFFT
algebra;15033;kvk;algebru;ÞFET,ÞGFET,EFET
algebra;15033;kvk;algebrum;ÞGFFT
algebra;15033;kvk;algebrur;NFFT,ÞFFT
allegóría;13782;kvk;allegóría;NFET,EFFT
allegóría;13782;kvk;allegóríu;ÞFET,ÞGFET,EFET
allegóría;13782;kvk;allegóríum;ÞGFFT
allegóría;13782;kvk;allegóríur;NFFT,ÞFFT
amaba;14845;kvk;amöbum;ÞGFFT
amaba;14845;kvk;amöbur;NFFT,ÞFFT
amaba;14845;kvk;amöbu;ÞFET,ÞGFET,EFET
amaba;14845;kvk;amaba;NFET,EFFT
ambaga;14846;kvk;ambögur;NFFT,ÞFFT
ambaga;14846;kvk;ambögum;ÞGFFT
ambaga;14846;kvk;ambögu;ÞFET,ÞGFET,EFET
ambaga;14846;kvk;ambaga;NFET,EFFT
ameríska;489896;kvk;amerískur;NFFT,ÞFFT
ameríska;489896;kvk;ameríska;NFET,EFFT
ameríska;489896;kvk;amerísku;ÞFET,ÞGFET,EFET
ameríska;489896;kvk;amerískum;ÞGFFT
amma;14847;kvk;ömmu;ÞFET,ÞGFET,EFET
amma;14847;kvk;ömmum;ÞGFFT
amma;14847;kvk;ömmur;NFFT,ÞFFT
amma;14847;kvk;amma;NFET,EFFT
anemóna;484751;kvk;anemóna;NFET,EFFT
anemóna;484751;kvk;anemónu;ÞFET,ÞGFET,EFET
anemóna;484751;kvk;anemónum;ÞGFFT
anemóna;484751;kvk;anemónur;NFFT,ÞFFT
annexía;13786;kvk;annexíur;NFFT,ÞFFT
annexía;13786;kvk;annexíu;ÞFET,ÞGFET,EFET
annexía;13786;kvk;annexía;NFET,EFFT
annexía;13786;kvk;annexíum;ÞGFFT
anóða;484801;kvk;anóðum;ÞGFFT
anóða;484801;kvk;anóður;NFFT,ÞFFT
anóða;484801;kvk;anóða;NFET,EFFT
anóða;484801;kvk;anóðu;ÞFET,ÞGFET,EFET
ansjósa;13787;kvk;ansjósa;NFET,EFFT
ansjósa;13787;kvk;ansjósu;ÞFET,ÞGFET,EFET
ansjósa;13787;kvk;ansjósum;ÞGFFT
ansjósa;13787;kvk;ansjósur;NFFT,ÞFFT
appelsína;13788;kvk;appelsína;NFET,EFFT
appelsína;13788;kvk;appelsínu;ÞFET,ÞGFET,EFET
appelsína;13788;kvk;appelsínur;NFFT,ÞFFT
appelsína;13788;kvk;appelsínum;ÞGFFT
apríkósa;13789;kvk;apríkósum;ÞGFFT
apríkósa;13789;kvk;apríkósur;NFFT,ÞFFT
apríkósa;13789;kvk;apríkósu;ÞFET,ÞGFET,EFET
apríkósa;13789;kvk;apríkósa;NFET,EFFT
arða;16068;kvk;örðum;ÞGFFT
arða;16068;kvk;örðu;ÞFET,ÞGFET,EFET
arða;16068;kvk;örður;NFFT,ÞFFT
arða;16068;kvk;arða;NFET,EFFT
aría;13790;kvk;aríum;ÞGFFT
aría;13790;kvk;aría;NFET,EFFT
aría;13790;kvk;aríu;ÞFET,ÞGFET,EFET
aría;13790;kvk;aríur;NFFT,ÞFFT
askja;393355;kvk;öskju;ÞFET,ÞGFET,EFET
askja;393355;kvk;öskjum;ÞGFFT
askja;393355;kvk;öskjur;NFFT,ÞFFT
askja;393355;kvk;askja;NFET,EFFT
asna;14849;kvk;ösnur;NFFT,ÞFFT
asna;14849;kvk;asna;NFET,EFFT
asna;14849;kvk;ösnu;ÞFET,ÞGFET,EFET
asna;14849;kvk;ösnum;ÞGFFT
assa;14850;kvk;assa;NFET,EFFT
assa;14850;kvk;össur;NFFT,ÞFFT
assa;14850;kvk;össum;ÞGFFT
assa;14850;kvk;össu;ÞFET,ÞGFET,EFET
auðna;13791;kvk;auðnu;ÞFET,ÞGFET,EFET
auðna;13791;kvk;auðna;NFET,EFFT
auðna;13791;kvk;auðnur;NFFT,ÞFFT
auðna;13791;kvk;auðnum;ÞGFFT
ausa;15700;kvk;ausur;NFFT,ÞFFT
ausa;15700;kvk;ausum;ÞGFFT
ausa;15700;kvk;ausu;ÞFET,ÞGFET,EFET
ausa;15700;kvk;ausa;NFET,EFFT
ákúra;13793;kvk;ákúra;NFET,EFFT
ákúra;13793;kvk;ákúru;ÞFET,ÞGFET,EFET
ákúra;13793;kvk;ákúrum;ÞGFFT
ákúra;13793;kvk;ákúrur;NFFT,ÞFFT
álfa;13794;kvk;álfa;NFET,EFFT
álfa;13794;kvk;álfum;ÞGFFT
álfa;13794;kvk;álfur;NFFT,ÞFFT
álfa;13794;kvk;álfu;ÞFET,ÞGFET,EFET
álma;15701;kvk;álmum;ÞGFFT
álma;15701;kvk;álmur;NFFT,ÞFFT
